unnamed_0,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11
Unknown,Time Series Workbook,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,"3401.0 Overseas Arrivals and Departures, Australia",,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,"Table 1: Total Movement, Arrivals - Category of Movement",,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Please Note: Trend has been suspended from February 2020 and seasonally adjusted has been suspended from April 2020 due to the impact of the COVID-19 pandemic on international travel. Please see the History of changes section for the year 2020 on the Methodology page.,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,,Enquiries,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Data Item Description,Unknown,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month
Number of movements ;  Permanent Arrivals ;,Unknown,,Original,A85232567K,1976-01-01 00:00:00,2025-06-01 00:00:00,594,Number,FLOW,Month,1
Number of movements ;  Long-term Residents returning ;,Unknown,,Original,A85232562X,1976-01-01 00:00:00,2025-06-01 00:00:00,594,Number,FLOW,Month,1
Number of movements ;  Long-term Visitors arriving ;,Unknown,,Original,A85232555A,1976-01-01 00:00:00,2025-06-01 00:00:00,594,Number,FLOW,Month,1
Number of movements ;  Permanent and Long-term Arrivals ;,Unknown,,Original,A85232568L,1976-01-01 00:00:00,2025-06-01 00:00:00,594,Number,FLOW,Month,1
Number of movements ;  Short-term Residents returning ;,Unknown,,Original,A85232565F,1976-01-01 00:00:00,2025-06-01 00:00:00,594,Number,FLOW,Month,1
Number of movements ;  Short-term Residents returning ;,Unknown,,Seasonally Adjusted,A85377103W,1976-01-01 00:00:00,2025-06-01 00:00:00,594,Number,FLOW,Month,1
Number of movements ;  Short-term Residents returning ;,Unknown,,Trend,A85378045C,1976-01-01 00:00:00,2025-06-01 00:00:00,594,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;,Unknown,,Original,A85375847A,1976-01-01 00:00:00,2025-06-01 00:00:00,594,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;,Unknown,,Seasonally Adjusted,A85375533K,1976-01-01 00:00:00,2025-06-01 00:00:00,594,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;,Unknown,,Trend,A85376475T,1976-01-01 00:00:00,2025-06-01 00:00:00,594,Number,FLOW,Month,1
Number of movements ;  Total Arrivals ;,Unknown,,Original,A85232561W,1976-01-01 00:00:00,2025-06-01 00:00:00,594,Number,FLOW,Month,1
© Commonwealth of Australia  2025,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
