unnamed_0,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11
Unknown,Time Series Workbook,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,"3401.0 Overseas Arrivals and Departures, Australia",,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,"Table 6: Short-term Movement, Visitors Arriving - Intended Length of Stay and Main Reason for Journey: Original",,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,,Enquiries,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Data Item Description,Unknown,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month
Number of movements ;  Short-term Visitors arriving ;  Under 1 week ;,Unknown,,Original,A85251143K,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  1 and under 2 weeks ;,Unknown,,Original,A85251139V,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  2 weeks and under 1 month ;,Unknown,,Original,A85251142J,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  1 and under 2 months ;,Unknown,,Original,A85251140C,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  2 and under 3 months ;,Unknown,,Original,A85251138T,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  3 and under 6 months ;,Unknown,,Original,A85251141F,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  6 and under 12 months ;,Unknown,,Original,A85251137R,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  Total (Duration of stay in days) ;,Unknown,,Original,A85251144L,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  Convention/conference ;,Unknown,,Original,A85247882L,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  Business ;,Unknown,,Original,A85247876T,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  Visiting friends/relatives ;,Unknown,,Original,A85247879X,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  Holiday ;,Unknown,,Original,A85247877V,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  Employment ;,Unknown,,Original,A85247880J,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  Education ;,Unknown,,Original,A85247878W,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  Other & not stated ;,Unknown,,Original,A85247881K,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Short-term Visitors arriving ;  Total (Reason for Journey) ;,Unknown,,Original,A85247883R,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
© Commonwealth of Australia  2025,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
