year_month,state,arrivals
1991-01,NSW,75630
1991-01,QLD,42710
1991-01,TAS,1410
1991-01,ACT,1990
1991-01,NT,1220
1991-01,WA,13790
1991-01,VIC,28840
1991-01,SA,4930
1991-02,NSW,78340
1991-02,QLD,42340
1991-02,TAS,1800
1991-02,ACT,3740
1991-02,NT,1460
1991-02,WA,17410
1991-02,VIC,33830
1991-02,SA,5780
1991-03,NSW,80520
1991-03,QLD,45860
1991-03,TAS,1350
1991-03,ACT,2270
1991-03,NT,710
1991-03,WA,15450
1991-03,VIC,32020
1991-03,SA,6240
1991-04,NSW,68330
1991-04,QLD,42900
1991-04,TAS,710
1991-04,ACT,1800
1991-04,NT,1860
1991-04,WA,17160
1991-04,VIC,25810
1991-04,SA,4950
1991-05,NSW,65380
1991-05,QLD,43100
1991-05,TAS,890
1991-05,ACT,1230
1991-05,NT,2360
1991-05,WA,15280
1991-05,VIC,24750
1991-05,SA,3610
1991-06,NSW,64100
1991-06,QLD,58800
1991-06,TAS,980
1991-06,ACT,1360
1991-06,NT,2060
1991-06,WA,12930
1991-06,VIC,22550
1991-06,SA,2900
1991-07,NSW,86770
1991-07,QLD,61970
1991-07,TAS,890
1991-07,ACT,1960
1991-07,NT,2630
1991-07,WA,12380
1991-07,VIC,30170
1991-07,SA,3920
1991-08,NSW,87560
1991-08,QLD,55210
1991-08,TAS,890
1991-08,ACT,1560
1991-08,NT,2630
1991-08,WA,13260
1991-08,VIC,28220
1991-08,SA,3240
1991-09,NSW,86500
1991-09,QLD,50130
1991-09,TAS,780
1991-09,ACT,2330
1991-09,NT,1760
1991-09,WA,16010
1991-09,VIC,27990
1991-09,SA,3830
1991-10,NSW,90610
1991-10,QLD,56010
1991-10,TAS,920
1991-10,ACT,2310
1991-10,NT,1700
1991-10,WA,15900
1991-10,VIC,32860
1991-10,SA,6420
1991-11,NSW,93940
1991-11,QLD,54920
1991-11,TAS,950
1991-11,ACT,2390
1991-11,NT,1690
1991-11,WA,18140
1991-11,VIC,36350
1991-11,SA,5680
1991-12,NSW,110600
1991-12,QLD,62200
1991-12,TAS,1930
1991-12,ACT,2970
1991-12,NT,2040
1991-12,WA,25600
1991-12,VIC,43180
1991-12,SA,7560
1992-01,NSW,86250
1992-01,QLD,50890
1992-01,TAS,2040
1992-01,ACT,1610
1992-01,NT,700
1992-01,WA,14570
1992-01,VIC,28990
1992-01,SA,4180
1992-02,NSW,105340
1992-02,QLD,54510
1992-02,TAS,1860
1992-02,ACT,1720
1992-02,NT,1430
1992-02,WA,19340
1992-02,VIC,40880
1992-02,SA,5710
1992-03,NSW,101310
1992-03,QLD,49420
1992-03,TAS,1470
1992-03,ACT,1660
1992-03,NT,1310
1992-03,WA,16820
1992-03,VIC,31960
1992-03,SA,5290
1992-04,NSW,93600
1992-04,QLD,49590
1992-04,TAS,1180
1992-04,ACT,1530
