Month,Scheduled Operator,Country to/from,FLTS IN,PAX IN,SEATS IN,FLTS OUT,PAX OUT,SEATS OUT,FIN_Y,CAL_Y,Passengers In,Freight In,Mail In,Passengers Out,Freight Out,Mail Out,Year
2009-02-01,Aerolineas Argentinas,Argentina,20,3081,4940,20,3525,4940,2009,2009,2600,3.989,0.7,2226,8.777,0,2009.0
2009-02-01,Air Caledonie,New Caledonia,32,3248,6422,32,5939,6422,2009,2009,3248,1.745,0.686,5939,56.649,1.909,2009.0
2009-02-01,Air Canada,Canada,25,5649,6729,26,4823,6966,2009,2009,5649,175.64,0.009,4823,164.675,0.012,2009.0
2009-02-01,Air China,China,49,11072,11760,49,9063,11760,2009,2009,11072,177.409,14.504,9063,191.675,2.305,2009.0
2009-02-01,Air Mauritius,Mauritius,8,2183,2384,8,1181,2384,2009,2009,2183,33.178,0.42,1181,49.724,0,2009.0
2009-02-01,Air New Zealand,Germany,8,..,..,-,..,-,2009,2009,..,12.238,0,..,..,..,2009.0
2009-02-01,Air New Zealand,New Zealand,622,79791,112807,621,83383,112686,2009,2009,79791,1959.916,229.181,83383,1304.029,3.812,2009.0
2009-02-01,Air Niugini,Papua New Guinea,99,6022,12305,98,6102,12198,2009,2009,6022,38.169,0.851,6102,236.836,5.066,2009.0
2009-02-01,Fiji Airways,Fiji,73,9627,19404,73,8864,19404,2009,2009,,,,,,,
2009-02-01,Air Tahiti Nui,Tahiti,4,618,1176,4,659,1176,2009,2009,618,11.043,0,659,30.646,0,2009.0
2009-02-01,Air Vanuatu,Vanuatu,36,2696,6120,36,2722,6120,2009,2009,2696,8.952,0,2722,43.476,0,2009.0
2009-02-01,AirAsia X,Malaysia,56,17063,21448,56,10837,21448,2009,2009,17063,104.377,0,10837,0,0,2009.0
2009-02-01,Airlines PNG,Papua New Guinea,28,335,1036,28,330,1036,2009,2009,335,0.848,0.015,330,5.173,0.014,2009.0
2009-02-01,Asiana Airlines,Korea,28,7744,8680,28,6736,8680,2009,2009,7744,184.859,6.924,6736,70.145,0,2009.0
2009-02-01,British Airways,UK,54,14549,15039,54,11793,15039,2009,2009,9093,311.516,58.759,6196,99.574,0,2009.0
2009-02-01,Cargolux Airlines Intl,Luxembourg,4,..,-,4,..,-,2009,2009,..,95.452,0,..,0,0,2009.0
2009-02-01,Cathay Pacific Airways,Hong Kong (SAR),271,64326,70861,271,45682,70905,2009,2009,64326,2387.559,117.794,45682,3716.174,26.297,2009.0
2009-02-01,China Airlines,Taiwan,28,8062,8484,28,6179,8484,2009,2009,8062,66.912,14.589,6179,29.223,0,2009.0
2009-02-01,China Eastern Airlines,China,44,10789,12436,44,7195,12436,2009,2009,10789,152.131,6.245,7195,107.411,1.895,2009.0
2009-02-01,China Southern Airlines,China,32,6751,8128,32,4639,8128,2009,2009,6751,147.55,11.083,4639,6.233,3.539,2009.0
2009-02-01,Continental Micronesia,Guam,8,1097,1232,8,1066,1232,2009,2009,1097,0.295,0,1066,1.962,0.004,2009.0
2009-02-01,Emirates,New Zealand,112,20913,34824,112,19364,34808,2009,2009,20913,1018.102,0,19364,704.347,0.236,2009.0
2009-02-01,Emirates,United Arab Emirates,250,52634,76282,249,39907,76040,2009,2009,48776,1389.861,183.303,36122,2085.852,0.476,2009.0
2009-02-01,Etihad Airways,United Arab Emirates,56,13431,16358,55,9098,16066,2009,2009,12513,295.127,10.747,8674,489.098,13.472,2009.0
2009-02-01,Eva Air,Taiwan,12,2824,3024,12,2445,3024,2009,2009,2824,82.431,3.971,2445,32.486,1.023,2009.0
