iso3,lag0,lag1,lag2,lag3,lag4,lag5,lag6,cluster,cluster_name
ARGENTINA,-0.025780547446716207,-0.03076483212436615,-0.03399011447646018,-0.03624138808449711,-0.03887181478853897,-0.041562317489762024,-0.044196626422282205,1,Low
AUSTRIA,-0.20254303213398564,-0.20761945903201992,-0.2087536949165772,-0.2096311693909332,-0.20996921245613903,-0.21136008741333456,-0.21362595421620176,0,High
BANGLADESH,0.02377137030792162,0.0167539309697591,0.013425609422638663,0.009674819181051085,0.005906008603010327,0.003119872806173025,-0.0004588826123623144,1,Low
BELGIUM,-0.24353963837606268,-0.24792048744439746,-0.24926232082050134,-0.25095884443706246,-0.2518549658499685,-0.25293554819783853,-0.2548923237575378,0,High
BRAZIL,-0.16788092132332846,-0.17215456561410286,-0.1739305822211257,-0.17529184052068522,-0.176838448353131,-0.17808007887946306,-0.17953079988187096,0,High
CAMBODIA,0.20025027891034203,0.19284052458001272,0.18956219623676784,0.18652240590325675,0.18438902536250348,0.18157754801058645,0.17585141982231534,2,Medium
CANADA,-0.22456936020260426,-0.22866303523837497,-0.23036817898261117,-0.23094905364397988,-0.23114207059373446,-0.23178210553245948,-0.23297723104793996,0,High
CHILE,-0.012865662904201143,-0.01703703859424299,-0.01985517560259554,-0.02315747521124418,-0.027514987081489233,-0.029677622052068628,-0.0326432381071104,1,Low
CHINA,-0.21009427742294284,-0.21342532918342522,-0.21386110742709039,-0.215980625760721,-0.21814116653571947,-0.22022990458260772,-0.22398935068862771,0,High
COLOMBIA,0.1752659456636303,0.16896147626693653,0.16474025498291311,0.15983700284174404,0.1558338549960171,0.153580872680189,0.15167365429451732,2,Medium
DENMARK,-0.22538070991323936,-0.23032166783009705,-0.23125267615212447,-0.23223277198415623,-0.23357905274245,-0.23418406835074426,-0.2358125669439016,0,High
FIJI,-0.16094538235406147,-0.16845416642223415,-0.171874073429077,-0.17380931745084788,-0.17546661423807683,-0.1771836690680908,-0.1794946170183727,0,High
FINLAND,-0.23356648412041406,-0.23865527983954504,-0.2403762064507078,-0.24066548919282899,-0.2417478064554139,-0.24172515714143633,-0.24086505300563865,0,High
