iso3,best_lag,best_corr,n_pairs
ARGENTINA,6,0.13194996214223337,172
AUSTRIA,6,0.0805705704758868,174
BANGLADESH,6,0.17252898895583643,173
BELGIUM,6,0.11274309102614222,179
BRAZIL,6,0.1128570531320728,179
CAMBODIA,6,0.17473074805628025,162
CANADA,6,0.18293379335098114,179
CHILE,6,0.07628388624348245,168
CHINA,6,0.18206320580157803,179
COLOMBIA,6,0.11518754870793123,163
DENMARK,6,0.14142422999485554,179
FIJI,5,0.16259599487812523,179
FINLAND,6,0.16081706131464285,173
FRANCE,6,0.17273861932840895,179
GERMANY,6,0.19667004104869887,179
INDIA,6,0.20055919674342096,179
INDONESIA,6,0.2066595030412165,179
IRELAND,0,0.17253523760209305,179
ISRAEL,0,0.012854371160710195,170
ITALY,5,0.15628372762793374,179
JAPAN,5,0.1151434105035675,179
MALAYSIA,5,0.19051901312321912,179
MEXICO,6,0.12380176981545753,163
NEPAL,6,0.21975255579895858,171
NETHERLANDS,5,0.14075649433422546,179
NEW CALEDONIA,1,0.06362675072050743,179
NEW ZEALAND,5,0.06015075754142539,179
NORWAY,3,0.15735122642161606,177
PAKISTAN,5,0.0999000752047823,179
PAPUA NEW GUINEA,6,0.09644566284682823,179
PHILIPPINES,6,0.12584975840359322,179
POLAND,5,0.080537386060966,177
RUSSIAN FEDERATION,5,0.08961320593011426,179
SAUDI ARABIA,6,0.08709075919395333,175
SINGAPORE,6,0.1832911622779525,179
SOUTH AFRICA,5,0.18137167118009362,179
SPAIN,6,0.1955399682116194,179
SRI LANKA,6,0.1666471957703477,177
SWEDEN,6,0.13819930684943496,179
SWITZERLAND,6,0.22608776926929494,179
THAILAND,5,0.14479207359846633,179
UNITED ARAB EMIRATES,5,0.11992165882670588,179
VANUATU,2,0.08240319132722675,175
