iso3,best_lag,best_corr,n_pairs
ARGENTINA,6,-0.044196626422282205,176
AUSTRIA,6,-0.21362595421620176,177
BANGLADESH,0,0.02377137030792162,177
BELGIUM,6,-0.2548923237575378,180
BRAZIL,6,-0.17953079988187096,180
CAMBODIA,0,0.20025027891034203,167
CANADA,6,-0.23297723104793996,180
CHILE,6,-0.0326432381071104,172
CHINA,6,-0.22398935068862771,180
COLOMBIA,0,0.1752659456636303,167
DENMARK,6,-0.2358125669439016,180
FIJI,6,-0.1794946170183727,180
FINLAND,4,-0.2417478064554139,177
FRANCE,6,-0.24801585701117082,180
GERMANY,6,-0.2574325269979347,180
INDIA,6,-0.062345819815137815,180
INDONESIA,6,-0.2097925621101975,180
IRELAND,6,-0.26022601086797076,180
ISRAEL,6,-0.15660109327698007,174
ITALY,6,-0.26405621256998313,180
JAPAN,6,-0.2797601404582965,180
MALAYSIA,6,-0.26496304311014557,180
MEXICO,6,-0.035871384468591096,170
NEPAL,0,0.28953578856066664,175
NETHERLANDS,6,-0.24677772698408887,180
NEW CALEDONIA,3,-0.23788970061678927,180
NEW ZEALAND,6,-0.27007040100044405,180
NORWAY,6,-0.25957245498081455,179
PAKISTAN,6,-0.06324925220660532,180
PAPUA NEW GUINEA,6,-0.3422250606133869,180
PHILIPPINES,6,-0.09388479065584811,180
POLAND,6,-0.11135394931159052,179
RUSSIAN FEDERATION,6,-0.34935753330240166,180
SAUDI ARABIA,6,-0.27077264991835326,178
SINGAPORE,6,-0.19228187297791288,180
SOUTH AFRICA,2,-0.28965905118235025,180
SPAIN,6,-0.13821998228075846,180
SRI LANKA,6,-0.058042943867062005,179
SWEDEN,6,-0.27676564815171495,180
SWITZERLAND,6,-0.2674369430646282,180
THAILAND,6,-0.23629410974568843,180
UNITED ARAB EMIRATES,6,-0.19253769840937426,180
VANUATU,6,-0.03612228460942395,178
