iso3,cluster,cluster_name
ARGENTINA,1,Low
AUSTRIA,0,High
BANGLADESH,1,Low
BELGIUM,0,High
BRAZIL,0,High
CAMBODIA,2,Medium
CANADA,0,High
CHILE,1,Low
CHINA,0,High
COLOMBIA,2,Medium
DENMARK,0,High
FIJI,0,High
FINLAND,0,High
FRANCE,0,High
GERMANY,0,High
INDIA,1,Low
INDONESIA,0,High
IRELAND,0,High
ISRAEL,0,High
ITALY,0,High
JAPAN,0,High
MALAYSIA,0,High
MEXICO,1,Low
NEPAL,2,Medium
NETHERLANDS,0,High
NEW CALEDONIA,0,High
NEW ZEALAND,0,High
NORWAY,0,High
PAKISTAN,1,Low
PAPUA NEW GUINEA,0,High
PHILIPPINES,1,Low
POLAND,1,Low
RUSSIAN FEDERATION,0,High
SAUDI ARABIA,0,High
SINGAPORE,0,High
SOUTH AFRICA,0,High
SPAIN,1,Low
SRI LANKA,1,Low
SWEDEN,0,High
SWITZERLAND,0,High
THAILAND,0,High
UNITED ARAB EMIRATES,0,High
VANUATU,1,Low
