iso3,n_months,arrivals_mean,arrivals_sd,twi_mean,twi_sd,first_date,last_date
ARGENTINA,180,1269.1666666666667,844.1324759014476,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
AUSTRIA,180,1227.5,673.8042377708742,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
BANGLADESH,180,1003.8333333333334,620.4587192927249,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
BELGIUM,180,1421.3333333333333,725.4052229134884,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
BRAZIL,180,3194.5,1709.2271032553842,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
CAMBODIA,180,720.8333333333334,523.8532301169009,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
CANADA,180,10987.666666666666,5919.832975523934,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
CHILE,180,1454.2222222222222,831.2398732482194,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
CHINA,180,63282.944444444445,44929.873100960416,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
COLOMBIA,180,1214.5,941.0687345398801,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
DENMARK,180,1888.888888888889,1194.012945892821,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
FIJI,180,2789.0,1576.0569212418732,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
FINLAND,180,995.5,676.5070286231595,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
FRANCE,180,8734.833333333334,4159.314978381112,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
GERMANY,180,12834.666666666666,6997.773740157347,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
INDIA,180,20143.444444444445,11527.556749191692,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
INDONESIA,180,12321.111111111111,7155.746129450763,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
IRELAND,180,4646.611111111111,2519.1508199207015,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
ISRAEL,180,987.6111111111111,484.00489850340864,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
ITALY,180,4931.777777777777,2570.505711945779,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
JAPAN,180,26534.333333333332,14773.8413738116,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
MALAYSIA,180,20748.11111111111,12062.592057199954,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
MEXICO,180,702.0555555555555,431.15499970178485,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
NEPAL,180,1700.2222222222222,1734.8443349599177,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
NETHERLANDS,180,3730.6666666666665,2016.753738674631,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
NEW CALEDONIA,180,3278.0,1768.4018603430632,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
NEW ZEALAND,180,91630.88888888889,38457.03834265119,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
NORWAY,180,1500.8333333333333,989.4052584068515,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
PAKISTAN,180,1148.4444444444443,654.2331621187441,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
PAPUA NEW GUINEA,180,3538.6111111111113,1640.5332842887076,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
PHILIPPINES,180,7983.944444444444,4465.146277762077,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
POLAND,180,1075.5555555555557,743.2062671664951,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
RUSSIAN FEDERATION,180,1103.888888888889,800.5343110173837,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
SAUDI ARABIA,180,945.0,613.5467910473244,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
SINGAPORE,180,26903.555555555555,14162.948025909222,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
SOUTH AFRICA,180,4009.1666666666665,2361.99940751841,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
SPAIN,180,2576.4444444444443,1391.6882646435647,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
SRI LANKA,180,2218.777777777778,1376.655186825673,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
SWEDEN,180,2812.3888888888887,2274.1882618101745,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
SWITZERLAND,180,3567.0,2205.0751263503835,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
THAILAND,180,6166.444444444444,3062.287205645028,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
UNITED ARAB EMIRATES,180,2630.3333333333335,1602.4868592528965,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
VANUATU,180,934.2222222222222,446.0978617934747,65.90277777777777,6.02001717322997,2010-01-01,2024-12-01
