date,total_arrivals,avg_TWI
2010-01-01,289140,69.2
2010-02-01,367160,69.5
2010-03-01,342540,71.7
2010-04-01,299570,72.5
2010-05-01,267990,67.5
2010-06-01,287430,67.3
2010-07-01,366110,69.4
2010-08-01,324490,69.0
2010-09-01,351590,72.9
2010-10-01,346530,72.7
2010-11-01,355600,73.0
2010-12-01,443750,75.8
2011-01-01,314240,74.0
2011-02-01,375360,75.5
2011-03-01,342880,76.3
2011-04-01,315170,78.9
2011-05-01,282150,77.8
2011-06-01,278940,77.8
2011-07-01,363180,78.4
2011-08-01,348180,76.5
2011-09-01,311720,72.4
2011-10-01,355270,76.9
2011-11-01,364830,74.6
2011-12-01,451350,75.8
2012-01-01,339570,77.9
2012-02-01,372730,79.2
2012-03-01,368670,76.9
2012-04-01,329060,77.0
2012-05-01,289070,73.6
2012-06-01,307640,76.5
2012-07-01,365370,78.9
2012-08-01,373210,77.0
2012-09-01,348110,76.9
2012-10-01,371490,76.5
2012-11-01,393470,77.2
2012-12-01,486030,77.1
2013-01-01,327720,77.7
2013-02-01,420190,77.4
2013-03-01,395940,79.1
2013-04-01,334120,78.4
2013-05-01,307830,74.0
2013-06-01,313210,71.4
2013-07-01,387820,69.4
2013-08-01,404200,69.2
2013-09-01,365100,71.2
2013-10-01,388160,72.1
2013-11-01,400730,69.8
2013-12-01,524930,68.9
2014-01-01,383880,67.7
2014-02-01,430390,68.9
2014-03-01,412290,71.0
2014-04-01,369810,71.4
2014-05-01,350290,71.5
2014-06-01,339770,72.0
2014-07-01,441770,71.5
2014-08-01,401120,71.9
2014-09-01,386840,68.9
2014-10-01,426190,69.4
2014-11-01,429330,68.2
2014-12-01,548800,66.5
2015-01-01,366270,63.9
2015-02-01,509520,64.1
2015-03-01,455700,63.300000000000004
2015-04-01,395530,65.3
2015-05-01,362840,63.699999999999996
2015-06-01,359680,63.800000000000004
2015-07-01,471150,61.4
2015-08-01,428090,60.9
2015-09-01,427300,59.9
2015-10-01,450150,60.300000000000004
2015-11-01,470140,61.800000000000004
2015-12-01,600960,62.699999999999996
2016-01-01,420450,61.5
2016-02-01,542250,61.4
2016-03-01,502760,64.4
2016-04-01,444750,63.800000000000004
2016-05-01,400140,61.699999999999996
2016-06-01,404550,62.5
2016-07-01,531900,63.300000000000004
2016-08-01,463040,63.199999999999996
2016-09-01,482840,63.9
2016-10-01,499960,65.0
2016-11-01,501560,65.3
2016-12-01,650570,63.9
2017-01-01,496270,65.8
2017-02-01,524230,66.7
2017-03-01,531590,66.2
2017-04-01,483510,64.5
2017-05-01,427130,63.800000000000004
2017-06-01,442300,65.5
2017-07-01,554260,67.3
2017-08-01,522170,66.3
2017-09-01,487320,66.2
2017-10-01,527860,64.9
2017-11-01,534710,63.6
2017-12-01,663230,64.9
2018-01-01,463200,65.6
2018-02-01,627710,63.6
2018-03-01,585280,62.300000000000004
2018-04-01,483870,62.1
2018-05-01,450990,62.800000000000004
2018-06-01,475070,62.6
2018-07-01,574780,63.5
2018-08-01,552960,62.199999999999996
2018-09-01,513930,62.199999999999996
2018-10-01,542030,61.9
2018-11-01,563010,63.300000000000004
2018-12-01,708550,60.699999999999996
2019-01-01,497050,61.6
2019-02-01,631900,60.699999999999996
2019-03-01,576720,60.5
2019-04-01,492520,60.5
2019-05-01,502420,60.0
2019-06-01,483250,60.1
2019-07-01,585300,59.5
2019-08-01,594020,58.9
2019-09-01,520460,59.199999999999996
2019-10-01,562110,60.0
2019-11-01,572440,59.0
2019-12-01,727130,60.300000000000004
2020-01-01,515500,58.1
2020-02-01,425390,57.0
2020-03-01,228420,54.699999999999996
2020-04-01,1630,57.800000000000004
2020-05-01,2400,58.800000000000004
2020-06-01,3440,60.0
2020-07-01,2080,61.9
2020-08-01,1770,62.6
2020-09-01,2240,60.699999999999996
2020-10-01,3840,59.5
2020-11-01,4860,61.5
2020-12-01,5800,63.4
2021-01-01,5360,63.0
2021-02-01,4070,64.5
2021-03-01,5220,63.9
2021-04-01,19670,64.4
2021-05-01,32710,63.5
2021-06-01,32540,62.699999999999996
2021-07-01,16440,61.6
2021-08-01,4470,61.199999999999996
2021-09-01,2550,60.800000000000004
2021-10-01,2620,63.1
2021-11-01,13580,60.199999999999996
2021-12-01,45990,61.1
2022-01-01,39260,59.300000000000004
2022-02-01,59690,60.6
2022-03-01,111290,63.6
2022-04-01,166910,63.1
2022-05-01,176470,63.199999999999996
2022-06-01,206160,61.800000000000004
2022-07-01,240540,63.1
2022-08-01,265650,63.300000000000004
2022-09-01,274290,61.5
2022-10-01,306160,61.300000000000004
2022-11-01,341130,62.1
2022-12-01,414350,61.4
2023-01-01,245300,62.4
2023-02-01,377540,61.4
2023-03-01,401240,60.300000000000004
2023-04-01,384870,59.800000000000004
2023-05-01,374990,59.800000000000004
2023-06-01,391250,61.699999999999996
2023-07-01,442600,61.300000000000004
2023-08-01,424770,60.6
2023-09-01,427200,61.1
2023-10-01,419710,60.199999999999996
2023-11-01,449290,61.5
2023-12-01,573280,62.6
2024-01-01,390580,61.4
2024-02-01,566520,61.1
2024-03-01,492510,61.5
2024-04-01,428320,62.199999999999996
2024-05-01,443610,63.1
2024-06-01,420510,63.300000000000004
2024-07-01,475740,61.4
2024-08-01,475250,62.6
2024-09-01,458700,62.800000000000004
2024-10-01,478960,61.5
2024-11-01,474400,61.5
2024-12-01,622960,59.699999999999996
