,Date,JPY,USD,EUR,KRW,NZD,CNY,GBP,TWD,SGD,IDR,HKD,MYR,SDR,Index,INR,THB,VND,AED,PGK,CAD,ZAR,SAR,CHF,SEK,PHP
0,1969-07-31,400.74,1.1138,,,0.998,,0.4657,,,,,,,,,,,,,,,,,,
1,1969-08-31,398.14,1.1091,,,0.998,,0.4657,,,,,,,,,,,,,,,,,,
2,1969-09-30,396.81,1.1094,,,0.998,,0.4657,,,,,,,,,,,,,,,,,,
3,1969-10-31,399.02,1.1158,,,0.998,,0.4657,,,,,,,,,,,,,,,,,,
4,1969-11-30,399.08,1.1161,,,0.998,,0.4657,,,,,,,,,,,,,,,,,,
5,1969-12-31,399.88,1.1182,,,0.998,,0.4657,,,,,,,,,,,,,,,,,,
6,1970-01-31,400.3,1.1185,,,0.998,,0.4657,,,,,,1.12,,,,,,,,,,,,
7,1970-02-28,400.72,1.1209,,,0.998,,0.4657,,,,,,1.12,,,,,,,,,,,,
8,1970-03-31,400.74,1.1207,,,0.998,,0.4657,,,,,,1.12,,,,,,,,,,,,
9,1970-04-30,401.74,1.1206,,,0.998,,0.4657,,,,,,1.12,,,,,,,,,,,,
10,1970-05-31,401.6,1.1186,,,0.998,,0.4657,,,,,,1.12,100,,,,,,,,,,,
11,1970-06-30,400.2,1.1159,,,0.998,,0.4657,,,,,,1.12,99.6,,,,,,,,,,,
12,1970-07-31,399.45,1.1134,,,0.998,,0.4657,,,,,,1.12,99.4,,,,,,,,,,,
13,1970-08-31,397.61,1.11,,,0.998,,0.4657,,,,,,1.12,99.1,,,,,,,,,,,
14,1970-09-30,397.91,1.1118,,,0.998,,0.4657,,,,,,1.12,99.2,,,,,,,,,,,
15,1970-10-31,398.05,1.1131,,,0.998,,0.4657,,,,,,1.12,99.2,,,,,,,,,,,
16,1970-11-30,398.03,1.1131,,,0.998,,0.4657,,,,,,1.12,99.2,,,,,,,,,,,
17,1970-12-31,398.54,1.1146,,,0.998,,0.4657,,,,,,1.12,99.3,,,,,,,,,,,
18,1971-01-31,402.85,1.1257,,,0.998,,0.4657,,,,,,1.12,100,,,,,,,,,,,
19,1971-02-28,402.41,1.1262,,,0.998,,0.4657,,,,,,1.12,100,,,,,,,,,,,
20,1971-03-31,402.44,1.1257,,,0.998,,0.4657,,,,,,1.12,100,,,,,,,,,,,
21,1971-04-30,402.58,1.1267,,,0.998,,0.4657,,,,,,1.12,100,,,,,,,,,,,
22,1971-05-31,402.31,1.1261,,,0.998,,0.4657,,,,,,1.12,99.8,,,,,,,,,,,
23,1971-06-30,402.65,1.1266,,,0.998,,0.4657,,,,,,1.12,99.8,,,,,,,,,,,
24,1971-07-31,402.51,1.1264,,,0.998,,0.4657,,,,,,1.12,99.7,,,,,,,,,,,
25,1971-08-31,389.41,1.1487,,,0.998,,0.4657,,,,,,1.12,99.3,,,,,,,,,,,
26,1971-09-30,385.63,1.157,,,0.998,,0.4657,,,,,,1.12,99.8,,,,,,,,,,,
27,1971-10-31,382.37,1.1614,,,0.998,,0.4657,,,,,,1.12,99.4,,,,,,,,,,,
28,1971-11-30,379.11,1.1615,,,0.998,,0.4657,,,,,,1.12,99.3,,,,,,,,,,,
29,1971-12-31,374.53,1.191,,,0.9965,,0.4664,,,,,,1.12,99.8,,,,,,,,,,,
30,1972-01-31,369.07,1.191,,,0.9965,,0.4596,,,,,,1.12,98.8,,,,,,,,,,,
31,1972-02-29,361.79,1.191,,,0.9965,,0.457,,,,,,1.12,98.1,,,,,,,,,,,
32,1972-03-31,361.51,1.191,,,0.9965,,0.4553,,,,,,1.12,97.8,,,,,,,,,,,
33,1972-04-30,362.17,1.191,,,0.9965,,0.4561,,,,,,1.12,97.9,,,,,,,,,,,
34,1972-05-31,362.94,1.191,,,0.9965,,0.4558,,,,,,1.12,97.9,,,,,,,,,,,
35,1972-06-30,352.37,1.191,,,0.9965,,0.484,,,,,,1.12,98.5,,,,,,,,,,,
36,1972-07-31,358.73,1.191,,,0.9965,,0.4862,,,,,,1.12,98.6,,,,,,,,,,,
37,1972-08-31,358.3,1.191,,,0.9965,,0.4858,,,,,,1.12,98.5,,,,,,,,,,,
38,1972-09-30,358.52,1.191,,,0.9965,,0.4917,,,,,,1.12,98.9,,,,,,,,,,,
