Month,Special Category Visa (subclass 444)(f),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Permanent Visas - Total,Temporary Student Visas - Higher Educ.,Temporary Student Visas - Vocational Educ. & Training,Temporary Student Visas - Schools,Temporary Student Visas - Independent ELICOS(g),Temporary Student Visas - Postgraduate Research,Temporary Student Visas - Other Students,Temporary Student Visas - Total,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas,Temporary Other Visas,Temporary visas - Total,Other Visas(h),Total(i)
2004-07-01,120910,11650,19860,23960,55470,24720,4390,9320,2160,10450,7640,58680,11920,292130,6200,7360,376300,3920,952560
2004-08-01,110520,10760,16390,20070,47220,5070,1620,1160,1170,2520,1070,12610,9490,270550,7420,7150,307220,3190,785000
2004-09-01,119780,10160,16330,21500,47990,2840,1580,770,1970,1560,860,9580,8790,249270,12760,7080,287480,3250,812710
2004-10-01,116540,11260,16930,23570,51760,5240,2450,2620,2180,1420,1370,15280,10550,304160,12720,7140,349840,5730,951720
2004-11-01,97650,9900,15910,18670,44470,3440,1080,420,1290,1210,890,8330,8550,355340,11940,6430,390600,4700,838150
2004-12-01,109200,10070,15220,15760,41040,4080,1070,620,1000,1550,1560,9870,7890,436200,10410,5880,470260,5120,919500
2005-01-01,112030,16810,30460,29450,76720,16440,5430,12410,2760,3580,3910,44530,16130,324870,10680,10810,407010,3950,1073840
2005-02-01,83620,11460,19990,19790,51240,47990,4860,5510,1890,5710,9060,75020,7940,354230,11050,7660,455900,3720,879130
2005-03-01,110050,11760,18560,18180,48510,11310,1960,600,2440,2600,900,19820,9280,360510,11230,7760,408600,3990,882640
2005-04-01,115790,10680,19610,19980,50260,4950,1930,3150,2110,770,2370,15280,10690,267210,9820,7090,310090,2730,809610
2005-05-01,97200,9380,16040,18350,43770,3670,1360,620,1420,840,660,8560,9280,237380,7920,6360,269490,2790,708680
2005-06-01,105100,10330,16700,18750,45780,5010,1650,1010,1250,750,1510,11180,9990,248270,8510,6310,284260,4800,763400
2005-07-01,127170,12740,22850,24440,60030,35380,4700,8620,2240,2600,6870,60400,13330,310610,7930,8740,401010,4510,1031850
2005-08-01,114310,12160,18350,20490,51000,7460,1410,1080,2020,1300,900,14170,11260,288330,8200,7410,329370,3340,847750
2005-09-01,122400,12510,18560,22790,53870,4280,2010,1440,2580,700,1490,12490,11000,259950,13770,7590,304800,3160,892970
2005-10-01,121380,12140,19430,25630,57200,6750,2450,2190,1770,660,1170,14990,11850,312130,13690,7500,360160,4060,989370
2005-11-01,94560,10530,16470,18170,45170,5200,1380,370,1370,580,970,9870,10210,347540,12810,7180,387600,5580,842190
2005-12-01,110380,10960,17520,16320,44810,5730,1260,620,1470,750,1090,10930,8990,437970,10380,6220,474490,5180,944670
2006-01-01,114390,17550,33680,29310,80540,18030,5820,8750,2780,1790,3380,40540,19830,325300,11610,9500,406780,3730,1092420
2006-02-01,81630,13440,22910,19440,55790,58540,5840,8390,2450,2300,9140,86660,10790,332890,12670,8430,451450,3850,892920
2006-03-01,99980,10490,18310,17530,46340,12490,2020,1360,2710,1050,650,20270,11440,336760,12020,12420,392920,4310,845850
2006-04-01,115080,11180,20500,20390,52070,5470,2220,1870,2910,610,2750,15830,12220,291130,9940,6970,336100,3540,849430
2006-05-01,96070,11210,18310,17980,47490,4130,1500,1070,1710,550,930,9890,10550,227290,8840,5690,262260,3280,722640
2006-06-01,105850,10420,18480,19540,48430,5870,2180,1060,2080,750,1850,13790,11810,245960,9420,6150,287140,3480,779630
2006-07-01,118490,13790,24490,24690,62970,39480,5350,8070,2530,1290,6910,63630,15620,297570,8150,8540,393510,4640,1036240
