Month,Special Category Visa (subclass 444)(e),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Permanent Visas - Total,Temporary Student Visas - Higher Educ.,Temporary Student Visas - Vocational Educ. & Training,Temporary Student Visas - Schools,Temporary Student Visas - Independent ELICOS(f),Temporary Student Visas - Postgraduate Research,Temporary Student Visas - Other Students,Temporary Student Visas - Total,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas,Temporary Other Visas,Temporary visas - Total,Other Visas(g),Total(h)
2004-07-01,37390,5170,8550,9060,22790,6850,1860,2550,880,4370,2910,19410,6020,114880,3280,2750,146340,1200,359890
2004-08-01,37500,5130,6710,7580,19430,2110,870,450,460,1080,250,5220,5180,105300,4340,2750,122780,980,304160
2004-09-01,36180,4490,6710,7860,19060,1000,800,190,790,580,270,3640,4400,97500,7390,2710,115640,960,299870
2004-10-01,39900,5170,7140,9010,21320,2040,1210,830,890,480,440,5900,5600,119060,7440,2380,140380,1360,373070
2004-11-01,33620,4470,6190,7370,18030,1520,670,140,470,440,370,3600,4140,138590,7420,2510,156270,1810,326660
2004-12-01,40660,4330,5990,5850,16170,1690,500,270,390,560,490,3910,4090,175250,6880,2370,192500,2320,367140
2005-01-01,41720,7430,11580,11220,30230,5750,2390,3600,1010,1370,1040,15160,7320,142840,5950,4310,175580,1950,445360
2005-02-01,32290,5020,7630,7840,20490,13180,1800,2090,780,2120,3610,23570,3960,146750,6200,2940,183410,1550,352990
2005-03-01,37620,5500,7250,6730,19480,4520,1030,270,850,1010,250,7930,4650,148440,6390,3310,170720,1260,351620
2005-04-01,36690,4990,8000,7640,20630,2050,990,870,870,260,990,6020,5290,114850,5060,2760,133980,1130,324780
2005-05-01,30970,4420,6550,6800,17770,1580,780,290,580,280,210,3720,4510,95970,4260,2180,110630,1000,274970
2005-06-01,33480,4600,6550,7010,18160,1760,740,340,570,280,490,4180,5020,98800,4730,2250,114980,1390,287010
2005-07-01,37620,5890,8940,9270,24100,11280,1960,2190,860,1050,2690,20030,6360,129780,4310,3550,164020,1700,394420
2005-08-01,34850,5580,7000,7920,20500,3340,900,390,710,480,280,6100,5620,115460,4760,2800,134730,1370,320470
2005-09-01,37690,5650,7460,8330,21450,1640,980,370,1130,270,410,4810,4980,102600,8180,3050,123620,1190,324100
2005-10-01,39060,5350,7460,10300,23110,2450,1340,730,720,230,430,5910,5770,123310,8200,2980,146170,1190,391250
2005-11-01,32300,4520,6080,7130,17730,2110,740,170,690,200,430,4340,4780,139060,7410,2760,158350,1720,327830
2005-12-01,37690,4810,6790,6580,18190,2340,600,220,710,290,400,4550,4190,177770,6650,2620,195780,2260,372110
2006-01-01,40760,8060,12430,11530,32030,6400,2700,2300,1040,500,770,13710,8090,133130,6610,3600,165150,1620,439840
2006-02-01,29550,5930,8770,7220,21920,16790,2300,3030,1040,780,3790,27730,4630,142550,7080,3200,185190,1320,358600
2006-03-01,32130,4550,7060,6770,18370,5190,940,260,1160,350,250,8150,4770,139130,6440,2890,161390,1460,327870
2006-04-01,37400,4890,8070,8120,21080,2020,1170,530,1270,180,1140,6320,5400,123890,5280,2930,143820,1530,339420
2006-05-01,30510,5120,7020,7090,19230,1740,870,440,820,150,250,4270,4730,91720,4310,1980,107010,1100,283520
2006-06-01,32830,4700,6470,6990,18160,2010,920,330,900,230,640,5030,5360,93900,4650,2370,111310,1410,283630
2006-07-01,33110,6160,9130,9520,24810,12600,2230,2160,1000,470,2510,20980,6810,124390,4090,3190,159450,1200,396920
2006-08-01,29150,5860,7030,7660,20540,3810,1220,530,860,280,330,7030,5750,110030,5110,2860,130770,1310,313900
2006-09-01,36160,5690,7190,8400,21280,2200,1340,410,1170,260,280,5660,5920,102690,8490,3280,126060,1010,327500
2006-10-01,37760,5300,7740,9450,22490,2940,1710,860,910,220,430,7070,5920,132970,9000,2910,157880,1300,401640
2006-11-01,35180,4970,6190,7350,18510,2760,1160,330,800,170,340,5560,5170,143570,8390,2820,165510,1070,346390
2006-12-01,39300,4780,6180,6480,17440,2520,880,320,650,220,350,4950,5290,188260,6880,2650,208030,1230,387920
2007-01-01,40280,8060,12150,10950,31170,7720,3370,3190,1270,500,860,16910,8960,132140,7100,4150,169270,1480,450590
2007-02-01,31140,5420,8290,6680,20380,16070,2720,1770,1090,500,3100,25250,4800,151160,6670,3380,191270,1190,368620
2007-03-01,36170,6150,8060,7130,21330,7770,1890,510,1230,290,190,11890,5600,152420,7430,3350,180680,1080,365930
2007-04-01,38580,5510,8570,7680,21760,3060,2180,1130,1040,210,780,8400,6680,123410,5050,3150,146690,870,357600
2007-05-01,34620,5420,6760,6480,18670,1950,1470,370,860,160,150,4950,5510,95590,4860,2360,113280,860,291690
2007-06-01,35580,5080,7380,7640,20090,2500,1440,450,890,160,610,6050,6050,98510,5120,2930,118650,1470,305030
2007-07-01,37030,5150,8440,8920,22520,13340,3490,2580,990,470,2510,23380,7250,121520,4150,2980,159280,1590,402220
2007-08-01,35080,5740,7650,7790,21170,4130,2100,870,1120,370,240,8840,6920,111760,5900,3230,136650,1020,343590
2007-09-01,39320,5480,7470,8650,21600,2380,2050,560,1240,300,680,7210,6460,104550,8840,3970,131030,1140,347710
2007-10-01,40630,5700,7640,9620,22970,3300,2340,880,790,220,580,8120,6520,121190,7900,2960,146680,870,414980
2007-11-01,37000,5240,7400,7550,20190,2760,1770,530,740,200,560,6560,5270,143430,8480,2950,166690,1120,369680
2007-12-01,36960,4740,6680,6170,17590,2920,1570,520,730,220,490,6450,5540,182250,7060,2430,203740,1190,398060
2008-01-01,39710,7910,13070,11140,32120,8700,4530,3490,1070,430,1090,19310,10750,129050,7120,4340,170570,1110,474010
2008-02-01,32870,6230,9700,7780,23710,18500,3920,2180,1150,590,3350,29680,5760,164820,7390,3620,211270,1130,411130
2008-03-01,36820,6240,9120,6820,22180,9270,2490,540,1470,380,690,14830,6390,147210,7670,3110,179220,1180,384460
2008-04-01,35820,5640,7910,7830,21380,3490,3090,1150,1120,240,420,9520,6940,114380,6110,3220,140170,1140,353470
2008-05-01,36480,5670,7830,6960,20450,2470,2310,490,920,220,260,6690,5950,96480,5020,2840,116980,760,317200
2008-06-01,32950,5700,8110,7000,20810,3050,2460,150,860,230,490,7240,6970,91920,5970,2610,114720,1000,316190
2008-07-01,40600,6120,8330,9010,23460,13530,4110,2130,1090,500,2880,24240,8050,151790,5140,3160,192390,2870,440120
2008-08-01,34070,6580,8460,8490,23530,5300,2560,680,1220,490,220,10470,7840,108260,6300,2620,135500,1320,353780
2008-09-01,35270,6010,7910,8760,22680,2670,2950,330,1260,260,290,7740,7010,93750,9950,2390,120850,1410,338170
2008-10-01,41660,5940,7920,8580,22430,4670,3460,840,1210,350,570,11100,6970,107070,9600,3170,137900,1620,410770
2008-11-01,34650,5900,7530,7640,21070,3750,2680,240,1020,210,310,8210,5890,126790,9260,3040,153180,2140,356010
2008-12-01,38510,4970,7050,6680,18710,3030,2130,250,950,310,690,7370,5580,177000,7960,4120,202020,2330,392130
2009-01-01,40970,7540,13800,11860,33200,9110,5910,2770,1280,540,920,20540,10620,125920,7790,4900,169760,1910,468160
2009-02-01,29590,6480,10120,7170,23760,20990,5110,2960,1380,640,3350,34430,5080,141170,9040,4000,193720,2550,381520
2009-03-01,33560,5980,7640,6990,20610,9220,2900,200,1510,380,290,14490,4980,136050,9060,3490,168070,2070,355560
2009-04-01,40040,6030,8410,8160,22600,4220,4340,920,1330,320,1320,12460,6360,119820,6650,3570,148860,1750,371230
2009-05-01,33080,6280,7980,7800,22060,2460,3050,280,1060,330,250,7430,5270,90790,6100,2900,112500,1520,313720
2009-06-01,32390,6000,7390,7660,21050,3790,2790,140,1060,310,790,8880,6060,81150,6030,3060,105180,1960,302710
2009-07-01,35770,7180,9320,9330,25830,15660,5370,2440,1270,610,2510,27860,7180,98290,5110,3720,142150,2660,404120
2009-08-01,36820,7920,8720,8770,25410,6190,2650,710,1250,520,360,11690,7310,101020,6590,3100,129700,2070,376170
2009-09-01,36930,6680,7850,9040,23570,3110,2430,200,1320,330,340,7730,6540,100790,10960,3240,129260,1670,362350
2009-10-01,45050,6930,9480,10070,26480,5060,3290,840,1330,370,460,11350,5870,119780,9490,3660,150160,1900,449120
2009-11-01,36950,6480,7310,7930,21710,3330,1940,290,1050,290,290,7180,5350,128550,8660,3310,153060,1520,375460
2009-12-01,42160,6330,6780,7380,20490,3440,1980,330,780,320,740,7580,5210,189750,7590,3120,213240,2300,434590
2010-01-01,43250,10200,14630,11720,36550,10020,4910,3480,1410,750,910,21470,10930,126240,8190,5250,172070,1880,516870
2010-02-01,33970,6560,8690,8120,23370,24670,4050,1690,1070,720,2930,35130,4990,155830,7800,4460,208220,2030,413430
2010-03-01,36750,6650,8270,7340,22260,9780,2630,240,1240,460,330,14680,5210,145830,7790,4410,177910,1930,391990
2010-04-01,40020,6960,9380,8900,25230,3680,2900,700,1060,240,730,9300,7140,110950,5900,3440,136730,1030,389460
2010-05-01,34760,6430,7870,7390,21700,2270,2190,120,830,340,250,6000,6370,96790,5000,3090,117260,1290,328820
2010-06-01,34590,6260,8090,8140,22490,3450,2010,100,760,520,650,7500,6670,95260,5330,2910,117670,1560,337430
2010-07-01,41520,6990,9170,10660,26820,16330,3600,2270,880,640,2850,26580,7820,112840,4740,3840,155820,1510,460500
2010-08-01,36130,7920,7740,9110,24780,6040,2040,310,1010,580,340,10330,7500,113180,5890,4020,140920,1420,390060
2010-09-01,44750,6900,7640,10080,24620,3030,1890,200,1080,570,470,7250,7110,108690,10530,3890,137470,1200,396340
2010-10-01,45350,6420,8350,10460,25220,3970,2730,790,970,380,540,9380,7600,123530,8710,4160,153380,1380,481710
2010-11-01,37920,6520,7120,8760,22400,3680,1780,230,810,300,440,7240,6090,139880,8150,4610,165970,1200,403660
2010-12-01,43010,6210,6630,7140,19990,3240,1780,120,820,380,500,6850,5710,194200,7540,4010,218300,1690,446740
2011-01-01,44900,8760,14640,12740,36140,8570,4120,2860,1240,860,1020,18660,11610,138700,7650,6450,183070,1220,548220
2011-02-01,35280,7680,9570,8870,26120,26680,3990,2140,1000,920,3200,37930,5910,153320,7760,5760,210680,1390,441270
2011-03-01,39320,7260,7720,8260,23240,7940,2450,150,900,620,220,12270,5780,138960,7440,5520,169970,840,397460
2011-04-01,41050,7010,8470,8960,24440,3050,2430,720,900,340,530,7970,7170,118060,5640,4780,143610,630,414790
2011-05-01,36360,7500,8000,8840,24340,2510,2170,210,640,440,650,6630,7370,93670,5070,3950,116690,700,362840
2011-06-01,35810,6500,7520,8450,22470,3040,1630,140,670,510,710,6700,6990,88360,5580,3710,111340,1230,347000
2011-07-01,42290,7300,9550,10630,27480,16640,3150,2050,800,780,2340,25750,9340,107140,4570,4190,150990,1130,479660
2011-08-01,37480,7510,8470,9540,25530,5720,1610,200,730,640,240,9140,8520,114590,6360,4020,142640,1010,405470
2011-09-01,38720,7400,9120,9740,26260,3380,2090,170,1180,500,390,7700,7800,104250,10610,4260,134630,1060,412290
2011-10-01,46780,7890,10430,11450,29780,4150,2530,740,890,410,510,9230,9350,125020,10680,4490,158780,840,509600
2011-11-01,40700,6740,8640,8120,23500,3360,1680,130,840,410,370,6790,6730,136920,9400,5050,164880,930,412650
2011-12-01,43760,6380,7740,8000,22120,3320,1500,170,690,440,410,6540,6600,191150,7440,4500,216220,1310,456540
2012-01-01,46670,9870,15250,14840,39950,7730,3960,2460,860,830,910,16760,13370,134270,7890,6460,178740,980,555230
2012-02-01,38660,8290,10760,9480,28520,25600,3470,1620,910,1120,2860,35590,6270,147880,8020,6280,204040,1080,448860
2012-03-01,40490,7360,9040,7980,24370,8040,1960,90,1270,450,230,12040,6680,148280,7100,4990,179090,640,418000
2012-04-01,41520,7740,11000,10760,29500,3710,2350,600,1040,440,910,9050,9750,117030,5490,4760,146080,1050,433250
2012-05-01,36170,7430,8870,8510,24820,2270,1580,90,580,390,220,5130,7210,93970,5320,3980,115610,760,357640
2012-06-01,39010,7860,8190,9300,25350,3410,1650,110,560,460,700,6880,9240,91540,5830,3920,117410,1120,372450
2012-07-01,39460,7510,10620,11990,30110,16860,2750,2160,660,770,2650,25840,9640,104380,5170,3990,149020,810,485970
2012-08-01,39240,7130,9450,10290,26860,5630,1390,230,770,660,320,9000,9480,120210,7100,4510,150300,1030,416730
2012-09-01,39660,7790,8910,10760,27460,3520,1620,190,1080,590,420,7420,9240,104550,10570,4410,136200,830,425390
2012-10-01,46600,8110,9770,12460,30340,4280,1950,800,720,550,270,8580,9010,124570,10740,4620,157520,950,509360
2012-11-01,40780,7550,8110,9980,25640,3660,1510,120,810,440,450,6980,7720,145760,10320,5450,176220,700,432850
2012-12-01,43810,6940,8510,8880,24330,4280,1500,140,590,440,600,7540,7930,200740,7890,4740,228840,470,483010
2013-01-01,47090,10320,16580,15070,41980,8220,3690,2430,1080,900,990,17320,14740,125610,10030,8390,176100,430,569860
2013-02-01,34470,8350,10210,9630,28190,24050,2460,1020,810,1140,2770,32250,7440,171140,8630,6180,225640,560,461110
2013-03-01,41160,8700,9330,9780,27810,11440,1560,110,1030,630,250,15020,7900,153960,8710,5940,191530,540,442500
2013-04-01,45180,8290,10160,12120,30560,3960,2310,560,830,450,1010,9120,9610,116250,6740,5370,147090,680,444230
2013-05-01,38790,8730,8930,10570,28220,2760,1400,170,600,390,370,5700,7980,103040,6620,4790,128130,330,389380
2013-06-01,37650,8250,9090,11700,29040,4230,1550,100,690,550,770,7880,9200,109010,6550,4880,137520,300,402610
2013-07-01,42630,7740,10930,12790,31460,18140,2780,1730,710,890,2840,27080,9740,116270,5460,5170,163720,650,516790
2013-08-01,41730,7980,8980,11650,28610,7510,1490,200,850,880,660,11590,9680,128000,7550,5400,162220,550,443410
2013-09-01,40030,8640,10140,11660,30440,4550,1730,130,1190,570,460,8630,9610,118380,12140,5020,153780,540,460070
2013-10-01,47170,8160,10650,14190,32990,5660,2140,840,890,530,850,10910,8790,135950,11810,6210,173670,420,544770
2013-11-01,40970,7660,9330,10530,27520,4100,1370,180,940,490,500,7570,7800,162200,10610,7510,195690,530,464740
2013-12-01,46470,7150,8560,9550,25250,4160,1470,80,530,420,700,7370,7550,229400,8280,5650,258260,380,525240
2014-01-01,46760,10270,17970,17230,45470,9070,3760,1720,1040,1140,1130,17870,16270,159860,9900,7780,211670,360,632230
2014-02-01,37080,8570,12350,11760,32670,26270,2930,1660,1050,1210,2960,36080,7910,185840,8900,7950,246680,430,499000
2014-03-01,43530,8580,9970,9790,28350,11320,1620,100,1070,680,500,15290,8430,169000,8320,6860,207900,440,467530
2014-04-01,45820,8310,10670,11780,30770,4550,1910,700,950,480,800,9390,10030,138710,6880,5950,170970,350,476960
2014-05-01,39290,8200,10080,10800,29070,3820,1760,100,770,400,630,7480,8300,123150,6260,4990,150180,310,424930
2014-06-01,37870,7530,9730,11960,29230,4550,1690,130,650,470,830,8340,8160,112460,6140,5000,140090,420,409160
2014-07-01,41590,7260,12220,12630,32110,18810,2790,1880,660,790,3460,28380,10180,127370,5970,5050,176960,430,534290
2014-08-01,42320,8570,10490,12120,31190,8330,1830,240,1130,930,430,12900,10190,130990,7790,4960,166830,470,468480
2014-09-01,41340,8340,10510,13260,32110,4870,2080,200,1080,570,380,9190,9150,125150,11380,5400,160270,470,479740
2014-10-01,49840,7890,11380,14010,33280,6360,2500,850,820,540,860,11940,8310,137050,11110,6390,174780,440,547750
2014-11-01,42960,7550,9380,11230,28160,4780,1720,120,970,420,490,8490,7810,167640,9080,7790,200810,560,480890
2014-12-01,46110,7050,8590,10560,26200,4770,1450,100,690,460,1060,8540,7210,235040,8080,6320,265200,250,534950
2015-01-01,47800,11740,20240,19040,51020,11190,4420,2940,1280,1130,970,21920,15660,143610,9610,9530,200320,410,642120
2015-02-01,36950,7150,11390,10440,28980,25740,2200,800,1020,990,3420,34170,7270,206230,7960,7670,263300,450,516360
2015-03-01,41520,9130,12800,11450,33390,14310,2490,110,1160,870,300,19240,8700,192280,8910,7780,236900,240,506490
2015-04-01,45030,8580,12780,13780,35130,5450,2770,880,1090,550,1000,11740,9710,140850,6890,5890,175090,270,493200
2015-05-01,41440,8050,11310,12090,31450,3770,2010,40,870,450,340,7480,8570,126640,6410,5810,154920,420,437070
2015-06-01,39180,8010,10720,12910,31640,4360,2250,140,900,610,610,8870,8220,114620,6070,5390,143170,550,429850
2015-07-01,44500,7790,12580,14070,34440,22710,3430,2550,770,910,3320,33690,10590,134290,5560,5960,190100,540,560700
2015-08-01,46100,8910,12010,12500,33410,7610,2430,240,1250,740,530,12790,10570,143660,7290,6370,180680,400,498990
2015-09-01,42980,8040,11750,13570,33360,5540,2450,170,1270,540,510,10490,9480,137240,10850,6040,174100,270,505900
2015-10-01,49980,8410,12630,15890,36930,7200,2950,860,1120,630,710,13470,8680,152700,10270,7150,192260,410,583690
2015-11-01,43020,8110,10900,12390,31400,4940,1990,150,920,510,530,9050,7770,184610,9400,6800,217630,340,515240
2015-12-01,45670,7930,10110,10410,28450,5130,2080,150,770,540,1010,9680,7820,265620,8760,6190,298060,180,587670
2016-01-01,51000,11880,22860,20710,55460,11430,5630,3770,1130,1370,950,24290,16660,167120,9810,10640,228520,360,699530
2016-02-01,38440,8850,13640,12730,35230,33830,3470,750,1140,1230,3350,43770,8600,228820,8400,10390,299980,290,577680
2016-03-01,44590,9000,11710,12930,33640,14320,2640,200,1420,630,530,19740,8920,221030,7540,8390,265630,460,552650
2016-04-01,45310,8480,13900,14630,37000,6100,3400,1010,1210,580,990,13300,9210,166690,7350,7300,203850,410,539300
2016-05-01,41530,9140,12070,13610,34820,3700,2530,150,1010,470,470,8330,8830,143300,6720,6450,173640,340,475200
2016-06-01,43070,8240,11380,13240,32860,4670,2680,80,1200,620,760,10020,8520,136290,6490,6080,167410,280,461220
2016-07-01,46070,8660,13480,16700,38840,29350,4460,2660,950,1050,3730,42200,10860,158170,5730,7350,224310,630,629920
2016-08-01,45130,9360,13080,14250,36690,7720,2950,170,1440,720,260,13260,10530,163150,8380,6270,201590,230,528520
2016-09-01,48170,8770,12950,14870,36590,6550,3540,160,1620,700,590,13160,9840,155680,11730,6190,196600,260,539890
2016-10-01,49560,8820,14040,18780,41640,8010,3630,1040,1340,680,940,15650,10850,173260,10420,7350,217530,720,644070
2016-11-01,44830,7660,12180,14470,34300,5920,2550,140,1190,480,710,10980,8420,210700,9720,7940,247760,260,555600
2016-12-01,47610,8120,11200,13460,32780,6510,2440,140,1150,640,840,11720,7680,291830,8170,6420,325820,300,632570
2017-01-01,51460,11440,25820,22210,59470,12770,6270,3300,1430,1320,890,25980,17100,216970,9410,11720,281190,370,785820
2017-02-01,40310,10600,17410,16490,44500,39110,4880,1590,1570,1380,3760,52280,8950,221690,9430,9620,301970,420,612040
2017-03-01,45990,8120,12290,13470,33880,19550,3210,220,1750,610,660,26000,7930,224650,9030,8640,276260,430,570290
2017-04-01,48340,9350,16280,17290,42930,7770,4360,1060,1630,630,1270,16710,11480,200320,6480,8370,243370,670,619380
2017-05-01,41690,8970,13540,15470,37990,4550,3040,160,1270,600,640,10260,9360,159530,7010,7070,193220,440,513340
2017-06-01,43470,8820,11940,15220,35990,5920,3080,70,1360,570,920,11910,10120,152040,7090,7110,188270,260,500240
2017-07-01,46680,8500,15310,17640,41460,34570,4770,2910,1110,990,3680,48030,11170,173550,6040,7780,246570,640,669550
2017-08-01,43180,9360,13330,14830,37520,9530,3100,170,1790,810,360,15760,10640,185210,8350,7240,227190,290,570860
2017-09-01,44720,8950,13750,16200,38900,7440,3430,140,1740,770,1100,14620,9540,172410,11340,7930,215830,380,581240
2017-10-01,51240,8880,16310,19550,44740,9700,4500,1400,1360,610,780,18340,9760,198150,10060,9720,246020,590,679820
2017-11-01,44970,8490,12280,14250,35030,6250,2900,100,1320,600,730,11890,8320,229850,9270,9360,268690,330,590280
2017-12-01,45300,7660,11760,12960,32380,7190,2620,150,970,690,940,12550,7890,305130,7610,7450,340620,470,645890
2018-01-01,48350,12610,28860,25990,67460,15120,7620,3740,1490,1400,1070,30420,16990,191290,9810,13870,262370,300,790080
2018-02-01,39010,8700,15190,14880,38770,38500,4630,850,1260,1180,3960,50380,7780,272200,8180,11390,349930,630,644860
2018-03-01,46430,10200,14640,15980,40820,24550,4500,330,1440,870,470,32150,8280,251270,9090,11980,312770,300,624850
2018-04-01,46900,9450,17710,18070,45240,9400,5450,970,1310,680,1330,19140,10870,185200,7420,10340,232970,500,606400
2018-05-01,41720,8860,13810,17700,40360,5660,4280,280,1270,700,410,12600,8320,165300,6690,8270,201180,440,538120
2018-06-01,40320,7680,13780,16370,37830,7110,4010,130,1220,720,950,14150,8940,164420,6670,8060,202250,200,520100
2018-07-01,43920,8260,17200,17730,43190,38610,6580,2500,1030,1300,3990,54020,9970,176610,5970,8810,255370,500,686690
2018-08-01,43360,9210,14350,17410,40970,10910,4580,130,1510,870,300,18300,10220,192220,8170,8620,237530,360,592030
2018-09-01,44780,8850,14910,17480,41230,8120,4720,110,1880,870,830,16530,9870,177500,10730,9470,224100,530,588180
2018-10-01,50530,9580,14840,21500,45920,10080,5260,1270,1420,710,790,19530,9680,203870,10070,11930,255090,390,705920
2018-11-01,46470,7920,12080,16590,36590,7880,3140,110,1350,630,790,13900,7950,233900,8960,9660,274380,410,602150
2018-12-01,48880,7030,11070,14740,32840,7810,3230,140,930,610,800,13520,7590,318930,8200,7730,355960,580,674150
2019-01-01,50090,12250,28740,29540,70530,15400,8570,3140,1490,1560,1380,31530,17710,200500,9640,15270,274660,460,813630
2019-02-01,37910,9380,15470,17300,42150,49290,5400,1210,1520,1490,3870,62790,8320,259400,8390,11930,350820,410,651190
2019-03-01,41450,9150,12330,16560,38040,17520,3950,210,1640,730,360,24430,8420,237420,8300,10560,289130,490,590880
2019-04-01,45890,8540,16130,20150,44820,7460,5690,960,1150,650,1050,16960,9820,193120,6320,9700,235930,360,600940
2019-05-01,43900,9170,15780,20320,45270,7550,4220,250,1100,680,860,14660,8760,183240,6530,9270,222470,370,570120
2019-06-01,38920,7730,13920,18350,40000,11270,3850,110,1230,900,700,18050,8620,169810,5870,8910,211270,470,535670
2019-07-01,45060,8030,16070,20330,44420,25780,5730,2300,1090,1060,2940,38910,9910,180610,5600,10120,245140,560,670310
2019-08-01,41180,8690,14920,17980,41580,17870,4050,150,1470,900,840,25270,9220,207460,7470,9430,258850,470,618430
2019-09-01,46500,8140,14040,17850,40030,13910,4790,80,1760,960,860,22350,8970,175670,9860,9850,226710,500,595220
2019-10-01,55280,9140,15040,22890,47070,9800,5200,1160,1200,670,820,18850,8950,198390,9290,11580,247070,680,699880
2019-11-01,45000,8010,12780,18400,39190,7940,3560,120,1190,670,730,14210,7400,225310,8760,10340,266020,340,603570
2019-12-01,46550,6970,11570,15220,33750,6800,2970,100,820,640,1180,12510,6660,305110,7440,8340,340060,340,655820
2020-01-01,47990,11990,29120,30610,71720,16620,8040,2800,1310,1670,1790,32210,15540,196510,8540,17540,270350,360,803980
