Month,Special Category Visa (subclass 444)(e),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Permanent Visas - Total,Temporary Student Visas - Higher Educ.,Temporary Student Visas - Vocational Educ. & Training,Temporary Student Visas - Schools,Temporary Student Visas - Independent ELICOS(f),Temporary Student Visas - Postgraduate Research,Temporary Student Visas - Other Students,Temporary Student Visas - Total,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas,Temporary Other Visas,Temporary visas - Total,Other Visas(g),Total(h)
2004-07-01,1260,400,630,1170,2200,1220,100,560,80,400,540,2910,320,7280,140,400,11050,130,34990
2004-08-01,760,340,540,1030,1920,350,20,80,10,140,50,650,150,6270,80,240,7370,60,24640
2004-09-01,1600,260,500,1160,1920,90,20,50,60,70,60,360,180,5670,200,370,6770,210,27850
2004-10-01,2230,280,500,1610,2390,250,60,120,20,80,30,560,240,7060,180,260,8290,180,37210
2004-11-01,1880,280,450,1040,1770,130,20,20,60,50,20,300,120,7850,260,250,8780,110,26260
2004-12-01,2550,280,410,690,1380,120,10,10,20,40,140,350,190,11990,90,260,12880,210,29300
2005-01-01,2030,670,1100,1300,3080,1020,220,840,70,150,240,2540,350,6830,110,510,10340,120,34970
2005-02-01,1700,380,700,760,1840,3010,240,550,80,300,260,4430,170,8440,250,380,13670,90,29780
2005-03-01,2820,540,820,870,2240,650,30,70,50,190,70,1060,200,8870,150,290,10570,200,29960
2005-04-01,2100,340,860,720,1910,380,30,110,50,60,60,680,230,6370,160,250,7690,50,26790
2005-05-01,2210,260,720,960,1950,180,30,130,20,50,80,490,200,5160,70,250,6170,120,27720
2005-06-01,1360,360,860,840,2070,200,50,20,10,50,70,390,190,4830,150,210,5770,80,24930
2005-07-01,1930,440,1020,1010,2470,1710,70,480,50,140,300,2750,340,7460,90,280,10920,120,35810
2005-08-01,1990,400,950,1220,2580,390,40,100,70,60,40,690,270,5270,130,400,6780,50,30330
2005-09-01,2240,450,840,1090,2380,230,20,30,10,30,120,440,290,6590,180,260,7750,140,31720
2005-10-01,2250,420,930,1410,2760,340,40,170,30,50,150,770,380,6950,120,170,8400,130,37960
2005-11-01,1760,430,1130,890,2450,220,20,20,20,60,50,390,230,7880,170,250,8920,90,29310
2005-12-01,2270,360,700,650,1700,240,50,50,20,20,30,410,300,12270,110,170,13260,310,31440
2006-01-01,1650,480,1550,1220,3250,1280,120,510,60,130,240,2340,570,7210,230,500,10850,150,35680
2006-02-01,1320,350,1050,790,2180,3860,180,980,20,140,230,5410,350,9600,140,540,16030,260,32970
2006-03-01,2890,380,1090,860,2320,640,30,80,50,70,30,900,340,9690,210,470,11610,290,31430
2006-04-01,3350,580,1040,910,2530,400,50,150,40,60,140,840,300,7090,120,310,8670,180,30440
2006-05-01,2580,340,990,930,2270,200,30,70,30,60,70,450,390,4870,150,330,6200,70,25900
2006-06-01,1990,300,1090,800,2190,300,60,30,50,30,140,620,240,5120,130,240,6350,230,27620
2006-07-01,1540,480,1430,1050,2960,1980,130,580,80,80,320,3170,360,7940,60,350,11890,110,38470
2006-08-01,2130,540,1350,1530,3420,490,40,110,20,60,80,800,410,6950,110,330,8610,140,33130
2006-09-01,2190,410,1210,1280,2900,290,30,60,10,40,100,520,460,6560,240,330,8110,80,33030
2006-10-01,2790,570,1310,1310,3190,600,60,200,40,40,160,1100,360,6980,250,270,8960,190,40520
2006-11-01,1970,510,1140,1070,2720,320,30,50,40,40,50,530,340,9230,250,190,10540,190,31340
2006-12-01,2420,380,850,680,1910,390,20,60,20,30,30,540,480,15240,190,240,16680,120,36010
2007-01-01,2310,550,2280,1080,3920,1630,160,970,40,80,390,3270,760,8320,300,640,13290,90,41710
2007-02-01,2230,470,1560,630,2660,4020,170,540,90,110,310,5230,400,9910,270,400,16210,160,34220
