Month,Special Category Visa (subclass 444)(e),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Permanent Visas - Total,Temporary Student Visas - Higher Educ.,Temporary Student Visas - Vocational Educ. & Training,Temporary Student Visas - Schools,Temporary Student Visas - Independent ELICOS(f),Temporary Student Visas - Postgraduate Research,Temporary Student Visas - Other Students,Temporary Student Visas - Total,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas,Temporary Other Visas,Temporary visas - Total,Other Visas(g),Total(h)
2004-07-01,20780,2600,4360,6270,13230,8370,1190,3060,370,3360,2090,18440,2700,42980,660,1420,66200,370,199530
2004-08-01,18460,2460,4050,5230,11740,1090,250,260,180,600,320,2700,2090,38420,750,1300,45270,280,153960
2004-09-01,20910,2280,3830,6100,12210,650,290,300,230,380,150,2010,2100,35410,1610,1320,42440,300,170110
2004-10-01,23180,2940,3880,6050,12860,1470,520,760,390,420,360,3920,2200,48490,1380,1510,57500,340,197170
2004-11-01,21060,2440,4260,4490,11190,960,210,130,160,330,170,1970,2060,62830,1220,880,68970,430,175530
2004-12-01,20640,2440,3940,3760,10140,1220,240,190,170,510,350,2680,1690,77840,1370,830,84420,480,184570
2005-01-01,24780,4100,7740,7240,19080,4860,1390,3830,430,890,1130,12520,4000,53180,1330,1960,72980,410,229320
2005-02-01,18610,2790,5570,5010,13360,16220,1520,1670,270,1680,2220,23580,1880,62450,1880,1580,91380,520,194130
2005-03-01,24940,2780,4880,4580,12240,3660,460,160,300,790,250,5620,2060,62660,1440,1370,73150,850,183080
2005-04-01,22670,2480,4810,5020,12310,1450,410,1080,330,240,550,4060,2360,42710,1260,1170,51550,420,167200
2005-05-01,17640,2380,4300,4150,10830,760,260,130,250,220,190,1810,1970,37040,820,1180,42830,210,141490
2005-06-01,17860,2470,3850,4940,11260,1610,400,180,130,170,390,2880,2090,36620,900,900,43390,520,150940
2005-07-01,19600,2890,5300,6000,14190,11710,1320,2960,360,710,1660,18710,3260,43760,1030,1610,68370,790,215150
2005-08-01,17220,2870,4600,5020,12500,1900,220,290,410,340,230,3410,2230,43820,870,1160,51490,490,170660
2005-09-01,19470,2960,4220,5970,13150,1010,490,390,220,120,270,2510,2510,37520,1430,1330,45280,460,185540
2005-10-01,25000,2760,4670,6480,13910,1980,530,800,200,150,300,3970,2260,52290,1640,1310,61470,600,209120
2005-11-01,21280,2740,3990,4700,11430,1790,310,120,190,150,180,2740,2360,62420,1610,1300,70420,730,181350
2005-12-01,20820,2540,4270,4300,11120,1750,310,150,130,190,190,2720,1820,80010,1430,770,86750,890,193690
2006-01-01,25680,4160,8780,7120,20070,5260,1600,2780,460,540,1040,11680,4630,57120,1740,1570,76750,580,234030
2006-02-01,17450,3440,6570,4960,14970,19760,1830,2680,390,700,2040,27400,2340,57160,1920,1600,90420,1010,197310
2006-03-01,22800,2560,4720,4240,11520,3930,590,880,370,330,190,6300,2600,58880,1850,6230,75860,1430,188570
2006-04-01,21620,2740,4920,4670,12330,1750,550,300,430,150,460,3650,2520,49620,1170,950,57910,610,168420
2006-05-01,18170,2520,4440,4370,11330,1000,310,90,210,130,210,1950,2310,38640,1150,720,44760,750,148210
2006-06-01,17720,2570,4770,5050,12380,2120,760,470,200,210,460,4220,2620,37850,1130,980,46810,730,166050
2006-07-01,17910,3110,6320,5910,15340,13740,1640,2490,390,330,1690,20290,3490,42490,870,1200,68350,1130,209960
2006-08-01,16780,3150,4750,5600,13500,2370,450,330,400,200,310,4060,2530,43020,1160,1040,51810,720,172490
2006-09-01,20550,2930,4500,6410,13840,1680,650,560,320,150,330,3680,3060,43010,1830,1220,52800,690,202810
2006-10-01,21100,3040,5790,6810,15640,2440,880,920,350,290,300,5180,2890,54500,1720,1550,65840,800,212490
2006-11-01,23940,3040,4860,5150,13050,2400,610,260,290,130,150,3830,2510,60900,2020,1200,70460,670,190550
2006-12-01,22920,2640,4490,4200,11340,2150,520,200,220,180,250,3510,2320,92570,1360,1150,100910,1030,214790
2007-01-01,26570,4560,9650,7750,21960,6790,2130,3530,400,420,990,14250,4830,52200,2080,1880,75240,930,245720
2007-02-01,18200,2880,6290,4930,14100,20160,2350,2180,470,430,2010,27610,2630,64530,1890,1240,97890,1080,205170
2007-03-01,22900,3520,6570,5130,15220,6560,1100,300,460,320,220,8960,3090,69550,2160,1480,85230,1140,208070
2007-04-01,22970,3450,5840,5040,14330,2640,1100,1190,380,190,520,6020,3030,48130,1560,1210,59950,820,191570
2007-05-01,22640,2740,5140,4820,12700,1750,580,200,260,190,240,3220,2660,39160,1400,1320,47760,680,165280
2007-06-01,24440,3060,5970,5110,14150,2640,1140,260,340,210,630,5230,3080,39180,1230,1040,49760,790,178090
2007-07-01,19800,3100,6780,6300,16180,14700,1860,3010,520,360,1760,22210,3420,43870,940,1360,71800,740,228010
2007-08-01,20020,3150,5720,5600,14470,3710,770,480,350,250,410,5970,3220,44360,1430,1120,56110,480,189080
2007-09-01,19660,3280,5240,5790,14310,2130,1000,370,350,180,190,4220,3570,40610,1850,1200,51440,490,197060
2007-10-01,23880,3300,5450,7380,16120,2730,990,1080,300,250,210,5560,2990,52790,1940,1510,64790,520,236810
2007-11-01,25220,2900,5220,5280,13400,2540,810,290,180,160,240,4210,2810,62480,2150,1150,72810,740,206470
2007-12-01,23340,2960,4890,4240,12080,2950,900,270,150,270,210,4750,2830,81080,1810,1320,91800,960,215730
2008-01-01,25020,4850,10670,7340,22860,7250,2790,3560,440,490,980,15500,5640,51670,1970,2000,76780,1090,259240
2008-02-01,19780,3140,8440,5100,16680,23680,3070,2280,500,500,1980,32000,2950,65280,2250,1730,104210,1060,227370
2008-03-01,23420,3610,7520,4770,15900,7600,1420,230,520,330,520,10630,3480,67790,2360,2010,86260,680,219000
2008-04-01,22050,2930,7070,4710,14700,2910,1840,1120,380,210,390,6850,3560,53240,1960,1610,67220,650,203180
2008-05-01,20950,3130,6190,4560,13880,2140,1140,190,240,180,180,4070,3050,42040,1810,1250,52220,540,177550
2008-06-01,18440,3490,6440,5910,15850,4040,1980,180,290,270,550,7300,3680,39770,1870,1190,53810,870,188170
2008-07-01,19850,2960,6700,5850,15510,14610,2750,3210,400,470,2100,23540,4250,53000,1300,1520,83600,980,244540
2008-08-01,18830,3930,5930,5730,15600,4660,1420,400,350,330,360,7520,3960,40810,1780,1550,55620,620,200120
2008-09-01,21660,3590,6360,5810,15760,3080,2090,300,350,210,130,6170,3840,40510,2580,1200,54310,540,210980
2008-10-01,26300,3480,6490,6280,16240,4380,1750,840,280,300,350,7900,3500,47470,2510,1820,63180,790,241570
2008-11-01,26370,3280,6190,4880,14350,3590,1730,230,290,370,250,6460,3370,59520,2860,1810,74030,850,212690
2008-12-01,24330,3330,5790,3840,12960,3290,1960,150,310,250,290,6250,2810,86880,2170,1580,99680,1160,223440
2009-01-01,28140,5310,12520,7360,25190,8760,4250,3060,480,470,860,17870,6090,53440,3100,2770,83270,980,272380
2009-02-01,20070,3940,9300,5510,18750,26060,4860,3360,600,620,1900,37390,3110,58700,3040,2310,104560,1070,228270
2009-03-01,24710,3820,7130,4960,15910,9000,2930,170,520,480,320,13420,3200,65670,3090,1840,87210,1080,215250
