Month,Special Category Visa (subclass 444)(e),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Permanent Visas - Total,Temporary Student Visas - Higher Educ.,Temporary Student Visas - Vocational Educ. & Training,Temporary Student Visas - Schools,Temporary Student Visas - Independent ELICOS(f),Temporary Student Visas - Postgraduate Research,Temporary Student Visas - Other Students,Temporary Student Visas - Total,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas,Temporary Other Visas,Temporary visas - Total,Other Visas(g),Total(h)
2004-07-01,810,200,180,310,700,550,60,240,10,230,200,1300,160,3130,10,450,5050,90,14850
2004-08-01,830,140,170,150,460,50,10,50,10,70,20,200,110,2260,60,370,3000,50,10180
2004-09-01,1210,130,100,300,540,80,0,10,0,50,20,170,100,2420,60,310,3060,30,10610
2004-10-01,650,120,240,190,550,70,10,40,0,40,20,190,100,2530,70,410,3290,40,13240
2004-11-01,810,80,110,110,300,40,10,30,20,50,20,150,80,2440,50,220,2940,80,10420
2004-12-01,710,140,150,150,440,120,10,10,20,140,70,360,50,3910,30,310,4660,90,12230
2005-01-01,760,240,360,240,850,270,30,200,10,160,200,870,180,2340,50,630,4060,70,14300
2005-02-01,580,160,230,190,580,1180,170,160,20,230,220,1990,70,2860,50,260,5240,110,12400
2005-03-01,650,160,190,120,470,100,0,0,10,80,70,260,110,2890,60,290,3610,60,10740
2005-04-01,970,100,310,230,640,110,10,80,30,60,40,330,130,2470,40,440,3410,70,12080
2005-05-01,480,90,180,180,450,60,10,0,0,40,20,120,50,1880,20,220,2290,180,8270
2005-06-01,800,70,240,200,510,90,20,0,0,50,70,230,140,1650,20,250,2290,190,11030
2005-07-01,530,160,290,170,620,710,80,180,10,100,140,1220,140,2280,40,500,4190,40,13080
2005-08-01,470,160,140,230,530,90,20,10,10,70,40,240,180,1930,30,350,2740,80,11930
2005-09-01,710,180,190,190,560,80,10,20,10,70,40,220,90,2210,80,390,3000,60,12030
2005-10-01,920,160,260,240,660,80,30,40,0,30,20,200,180,2360,50,410,3210,70,13970
2005-11-01,630,160,140,110,410,70,10,0,0,30,20,140,80,2440,20,330,3000,170,11680
2005-12-01,1020,170,180,170,520,80,10,0,10,60,70,230,80,3460,20,370,4180,80,11870
2006-01-01,1010,190,300,190,680,330,40,80,10,90,180,740,170,2320,40,520,3790,90,15220
2006-02-01,600,220,230,140,600,1270,100,290,20,100,220,2010,130,2710,70,530,5450,80,12590
2006-03-01,600,130,180,140,450,80,10,10,40,70,30,230,100,2700,80,250,3360,70,9900
2006-04-01,610,50,150,180,390,70,10,10,40,40,110,280,140,2320,20,260,3020,140,12130
2006-05-01,730,140,170,230,540,20,0,20,0,30,30,110,90,1420,30,230,1870,130,9830
