Month,Special Category Visa (subclass 444)(e),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Permanent Visas - Total,Temporary Student Visas - Higher Educ.,Temporary Student Visas - Vocational Educ. & Training,Temporary Student Visas - Schools,Temporary Student Visas - Independent ELICOS(f),Temporary Student Visas - Postgraduate Research,Temporary Student Visas - Other Students,Temporary Student Visas - Total,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas,Temporary Other Visas,Temporary visas - Total,Other Visas(g),Total(h)
2004-07-01,1210,80,30,90,200,40,10,50,0,10,10,120,190,4360,100,200,4960,570,10150
2004-08-01,660,80,20,100,190,0,0,20,0,0,0,20,70,5160,180,170,5600,730,8930
2004-09-01,1200,60,30,160,260,0,0,10,0,0,0,10,80,4690,170,170,5130,440,9370
2004-10-01,580,50,40,110,210,0,0,0,0,0,10,20,120,4760,170,130,5180,180,8590
2004-11-01,370,50,60,80,190,0,0,0,0,0,0,10,180,3400,90,110,3790,100,6510
2004-12-01,420,70,70,70,210,0,0,0,0,0,0,0,100,2490,70,90,2750,160,5240
2005-01-01,360,160,90,130,390,20,10,50,0,0,0,80,230,2780,100,240,3430,220,8580
2005-02-01,180,30,30,70,130,60,20,30,0,0,0,110,40,2480,80,130,2840,60,5430
2005-03-01,270,80,50,170,310,0,0,0,0,0,0,10,90,2710,30,110,2940,110,5750
2005-04-01,340,110,80,120,300,10,0,10,0,0,0,30,110,2700,130,70,3030,40,6210
2005-05-01,270,80,40,110,220,10,0,0,0,0,10,30,140,4830,160,380,5530,190,7780
2005-06-01,510,60,30,90,180,10,20,0,0,0,30,60,80,3440,130,100,3810,130,7000
2005-07-01,1130,70,110,220,400,40,20,90,0,0,10,160,100,4540,190,180,5160,410,11100
2005-08-01,390,120,30,90,240,10,0,20,0,0,0,40,50,5350,160,160,5770,410,9340
2005-09-01,680,70,60,70,200,0,0,0,10,0,0,10,170,4610,240,140,5170,220,8890
2005-10-01,340,100,80,70,260,10,0,0,0,0,0,20,150,4230,130,90,4620,230,8250
2005-11-01,400,90,40,160,290,0,0,0,0,0,0,0,90,3720,90,190,4090,70,6780
2005-12-01,280,90,80,60,230,10,0,0,0,20,10,40,50,3800,60,60,4000,100,6490
2006-01-01,280,200,140,160,510,20,10,50,20,0,0,100,220,2980,40,170,3500,150,9390
2006-02-01,350,110,150,140,400,90,10,20,0,0,0,110,110,2170,130,130,2650,180,5750
2006-03-01,350,170,120,200,490,10,0,0,0,0,0,10,130,3140,150,70,3490,90,6290
2006-04-01,680,70,110,130,310,20,0,10,0,0,0,40,170,3520,110,130,3970,190,8510
2006-05-01,390,90,130,80,300,30,0,0,0,0,0,30,150,4070,130,130,4500,320,7140
2006-06-01,510,120,70,90,280,10,0,0,0,0,0,10,180,3500,150,200,4040,150,7550
2006-07-01,1060,120,70,220,410,60,10,90,0,0,30,200,160,5080,230,270,5940,480,11650
2006-08-01,1020,70,120,100,280,10,10,30,20,0,10,70,110,5480,250,300,6210,410,10630
2006-09-01,770,40,60,150,250,10,0,0,20,0,0,30,200,4320,170,150,4870,220,9140
2006-10-01,720,90,60,250,410,30,0,0,0,0,0,30,180,4090,230,200,4740,210,9480
2006-11-01,430,90,80,150,320,20,0,0,0,10,0,20,210,3370,160,260,4030,200,7770
2006-12-01,250,70,120,90,290,10,0,0,0,0,0,10,90,2660,90,200,3050,130,5660
2007-01-01,750,170,200,140,500,20,20,50,0,0,0,100,310,2170,50,290,2920,180,10610
2007-02-01,390,80,130,90,290,160,20,10,0,0,0,190,230,2630,150,210,3410,120,6380
2007-03-01,370,150,90,80,310,30,0,10,0,10,0,50,160,2960,160,180,3510,220,6930
2007-04-01,880,90,90,120,300,10,0,10,0,0,0,20,210,2690,180,240,3340,200,7670
2007-05-01,1060,40,140,90,270,10,10,0,0,0,0,20,170,4070,140,1030,5440,310,9620
2007-06-01,870,150,100,140,390,10,0,10,0,10,0,20,130,3140,180,430,3890,200,7580
2007-07-01,1010,140,170,240,550,160,40,60,10,0,40,320,440,6250,160,570,7740,300,14850
2007-08-01,940,140,130,130,400,10,10,10,0,0,0,30,220,5560,390,550,6750,240,11780
2007-09-01,680,110,50,120,280,30,0,0,0,0,0,40,160,5150,340,320,6010,310,10220
2007-10-01,430,50,150,140,340,10,10,0,10,0,0,40,240,5250,270,350,6140,320,11330
2007-11-01,480,80,50,160,290,10,0,0,0,0,0,20,160,3700,170,340,4380,300,9450
2007-12-01,560,120,50,130,300,10,0,0,0,0,0,20,160,3930,90,320,4520,180,8900
2008-01-01,910,290,320,190,790,60,10,90,20,10,20,210,460,2400,90,320,3490,150,12020
