Month,Special Category Visa (subclass 444)(e),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Permanent Visas - Total,Temporary Student Visas - Higher Educ.,Temporary Student Visas - Vocational Educ. & Training,Temporary Student Visas - Schools,Temporary Student Visas - Independent ELICOS(f),Temporary Student Visas - Postgraduate Research,Temporary Student Visas - Other Students,Temporary Student Visas - Total,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas,Temporary Other Visas,Temporary visas - Total,Other Visas(g),Total(h)
2004-07-01,53900,1530,2800,3440,7770,3730,580,1980,670,1520,1430,9920,1120,93950,1390,1300,107670,1170,235820
2004-08-01,47280,1450,2170,2230,5850,690,320,170,360,360,320,2230,920,87490,1470,1370,93480,800,197120
2004-09-01,52020,1670,2200,2650,6520,650,260,120,650,370,230,2270,700,76090,2060,1230,82350,800,202150
2004-10-01,44340,1700,2190,2920,6810,670,230,570,720,260,270,2720,1020,87780,1930,1540,95000,3190,216270
2004-11-01,34820,1360,1930,2370,5660,580,100,50,390,250,240,1610,860,96900,1700,1610,102680,1630,193910
2004-12-01,37460,1610,2080,2600,6280,550,150,90,310,200,370,1670,710,109310,1120,1350,114160,1350,212750
2005-01-01,35370,2400,4220,4070,10690,2590,720,2680,880,620,890,8380,1840,84900,2040,2060,99220,680,225620
2005-02-01,25730,1730,2280,2410,6420,7440,580,460,590,940,1950,11960,850,90410,1610,1550,106380,960,184750
2005-03-01,37360,1530,2440,2460,6430,1510,220,50,900,340,200,3230,1100,89730,2180,1600,97840,940,198040
2005-04-01,45990,1460,2190,2680,6330,490,210,500,610,80,520,2410,1150,69170,2260,1610,76600,650,182840
2005-05-01,40350,1190,1750,2790,5730,820,180,40,470,170,120,1800,970,67120,1860,1390,73140,740,168720
2005-06-01,46240,1380,2320,2570,6270,690,200,260,420,140,370,2080,1170,77330,1940,1760,84280,2120,195590
2005-07-01,60570,1880,3030,3430,8340,5440,650,1920,800,410,1530,10750,1430,97220,1580,1700,112690,1150,252250
2005-08-01,53860,1660,2270,2470,6400,820,140,140,550,240,270,2160,1250,90700,1420,1610,97140,630,213670
2005-09-01,55220,1740,2550,2680,6970,850,250,570,840,140,540,3190,1360,76140,2460,1520,84670,770,224640
2005-10-01,47640,1860,2400,2910,7170,1100,290,140,630,100,190,2450,1450,85800,2290,1430,93420,1340,214530
2005-11-01,32650,1440,2020,2050,5520,730,180,40,350,80,240,1620,1110,91440,2270,1540,97980,2490,189830
2005-12-01,41140,1760,2480,1990,6230,750,180,150,480,110,340,2020,1200,104420,1440,1350,110430,1100,217860
2006-01-01,37350,2460,4540,4240,11240,3000,700,2270,850,300,990,8110,3100,85890,1790,2080,100960,690,234850
2006-02-01,27140,2030,2760,2470,7270,8840,740,740,710,330,2120,13500,1580,81810,2170,1530,100590,630,186350
2006-03-01,34820,1550,2150,2350,6050,1740,270,90,830,120,110,3160,1610,85430,2260,1510,93970,590,188740
2006-04-01,44000,1650,2860,2590,7100,710,290,610,810,70,710,3210,1880,72980,2380,1470,81920,680,195650
2006-05-01,38110,1730,2200,2190,6130,820,210,140,570,90,310,2140,1450,65720,2350,1330,72990,640,170720
2006-06-01,46470,1610,2480,2820,6910,810,250,90,660,130,390,2330,1380,80350,2490,1490,88030,680,197930
2006-07-01,58230,2130,3050,3530,8710,5760,580,1860,760,200,1530,10680,2090,91270,2050,2080,108180,1270,252670
2006-08-01,49070,1650,2220,3120,6990,990,300,140,820,140,300,2690,1870,85000,1940,1630,93140,770,209830
2006-09-01,58700,1900,2670,2690,7260,860,270,170,1000,90,360,2760,1850,79670,3330,1430,89040,630,224300
2006-10-01,46660,1700,2830,3300,7830,1020,310,580,720,150,310,3080,2060,84780,2750,1640,94320,1060,232280
2006-11-01,35210,1720,2560,2560,6840,950,240,120,430,140,300,2180,1690,92850,2530,1670,100920,1380,200490
2006-12-01,39490,1830,2370,2150,6340,710,220,160,630,90,290,2090,1800,106610,1840,1430,113770,850,221710
2007-01-01,41410,2860,4960,3510,11330,3720,1010,2690,980,330,890,9630,4370,73320,2240,2240,91810,530,237880
2007-02-01,27580,1760,2830,2370,6960,8450,650,580,730,250,1930,12580,1630,85200,2490,1730,103630,850,192560
2007-03-01,35020,1920,2780,2760,7460,2410,350,80,990,180,160,4180,1930,87860,3080,1720,98770,860,204510
2007-04-01,45840,1820,3010,2770,7600,770,330,580,890,60,420,3050,2130,67830,2680,1900,77600,1110,198840
2007-05-01,44800,2020,2480,2930,7430,830,230,50,620,190,160,2070,1940,58970,2700,1640,67330,830,183390
2007-06-01,52180,1660,2830,2900,7390,950,480,160,630,120,390,2720,2360,72660,2940,1950,82630,1830,209470
2007-07-01,56280,1930,3360,3200,8490,6780,930,2390,700,230,1800,12830,2740,85560,2370,1940,105440,1580,254530
2007-08-01,51390,1870,2630,2630,7120,1460,450,150,690,190,330,3270,2190,84930,2550,1640,94590,700,217320
2007-09-01,58130,2030,3090,2650,7780,1140,430,180,970,200,290,3210,2260,75590,3760,1650,86470,1000,230000
2007-10-01,49940,1840,3020,3070,7930,1600,610,600,470,90,300,3660,2560,82910,3010,2450,94590,1600,247800
2007-11-01,40080,1740,2690,2400,6830,1250,370,70,490,90,350,2610,2340,87130,3360,1770,97210,1080,212610
2007-12-01,41610,1790,2800,2560,7150,1140,330,150,450,170,380,2630,2110,101380,2000,1730,109850,680,227080
2008-01-01,40670,3100,6180,4020,13310,4440,1490,2710,850,380,920,10790,5140,66800,2470,2870,88070,890,248970
2008-02-01,33440,2170,3350,2160,7670,9900,970,610,740,360,1850,14430,2340,85590,3500,1840,107690,940,213630
