Month,Special Category Visa (subclass 444)(e),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Permanent Visas - Total,Temporary Student Visas - Higher Educ.,Temporary Student Visas - Vocational Educ. & Training,Temporary Student Visas - Schools,Temporary Student Visas - Independent ELICOS(f),Temporary Student Visas - Postgraduate Research,Temporary Student Visas - Other Students,Temporary Student Visas - Total,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas,Temporary Other Visas,Temporary visas - Total,Other Visas(g),Total(h)
2004-07-01,720,170,30,170,360,300,10,40,10,20,10,380,30,670,0,80,1170,10,5970
2004-08-01,520,70,90,130,290,20,0,0,0,10,20,50,20,810,10,30,920,20,5370
2004-09-01,430,50,180,180,410,60,10,30,10,20,0,150,30,1130,40,80,1430,0,7890
2004-10-01,570,30,80,250,360,30,20,10,20,10,0,80,20,1440,30,60,1630,30,6650
2004-11-01,650,50,70,200,320,30,0,0,0,20,0,50,50,2600,10,70,2780,20,6530
2004-12-01,770,140,100,200,440,20,20,0,0,10,0,60,30,4100,60,80,4320,20,8570
2005-01-01,440,60,110,110,280,100,20,30,10,20,30,220,30,2490,20,100,2850,90,6730
2005-02-01,590,60,160,80,300,730,60,230,30,20,50,1110,40,2960,20,60,4200,40,8790
2005-03-01,630,50,70,90,200,40,0,0,30,30,0,110,20,2540,10,120,2800,10,6910
2005-04-01,590,120,60,230,410,40,0,20,20,20,10,110,30,1380,30,50,1600,0,6030
2005-05-01,550,70,30,110,210,0,0,0,0,10,10,20,40,770,40,60,930,10,5590
2005-06-01,580,90,50,120,260,90,10,60,0,10,0,170,60,550,10,70,860,20,6890
2005-07-01,630,140,80,110,330,370,20,40,0,20,50,500,40,1190,10,50,1780,40,6200
2005-08-01,300,130,60,90,270,60,0,10,30,10,0,110,60,950,10,60,1190,0,4760
2005-09-01,880,100,140,260,500,80,10,20,20,10,40,170,50,850,40,70,1190,0,10090
2005-10-01,540,110,80,160,350,10,10,10,10,10,20,80,60,1380,60,60,1630,20,6610
2005-11-01,840,50,70,150,270,30,0,0,10,10,0,60,50,2170,20,60,2360,60,6390
2005-12-01,870,100,70,110,280,110,10,0,0,20,0,140,30,3740,10,90,4010,20,8880
2006-01-01,770,100,130,180,420,110,40,20,20,10,10,200,100,3510,100,50,3960,10,8570
2006-02-01,890,100,140,150,390,990,80,150,20,20,50,1320,90,2860,50,90,4410,60,8860
2006-03-01,1050,60,150,110,310,80,20,0,50,20,0,170,80,2470,50,50,2810,40,7150
2006-04-01,1090,90,100,90,290,30,10,20,20,10,40,120,70,1540,30,60,1820,30,6570
2006-05-01,310,60,80,130,260,10,0,30,0,0,20,70,60,850,10,60,1050,40,5410
2006-06-01,540,70,150,280,500,40,10,90,0,10,0,150,90,970,0,20,1230,40,7590
2006-07-01,470,60,100,100,260,350,20,40,10,10,80,510,80,1250,40,50,1930,10,6540
2006-08-01,500,60,20,180,260,130,0,10,50,20,10,230,90,1080,40,70,1500,10,5010
2006-09-01,680,50,80,120,250,50,10,30,0,10,10,120,90,1250,10,50,1520,10,8440
2006-10-01,1050,70,120,220,410,20,10,0,0,10,10,50,70,2000,30,70,2220,10,9100
2006-11-01,590,160,100,150,400,40,0,0,0,40,0,90,40,2460,60,20,2680,0,6730
2006-12-01,470,120,90,170,380,60,10,0,0,10,0,90,90,4330,20,40,4570,50,8910
2007-01-01,670,90,170,60,320,150,40,30,20,20,20,270,100,2810,60,50,3290,10,7730
2007-02-01,850,90,110,120,320,940,30,180,30,30,80,1290,50,3490,40,60,4940,20,8920
