Month,Special Category Visa (subclass 444)(e),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Permanent Visas - Total,Temporary Student Visas - Higher Educ.,Temporary Student Visas - Vocational Educ. & Training,Temporary Student Visas - Schools,Temporary Student Visas - Independent ELICOS(f),Temporary Student Visas - Postgraduate Research,Temporary Student Visas - Other Students,Temporary Student Visas - Total,Temporary Skilled Visas,Temporary Visitor Visas,Temporary Work Visas,Temporary Other Visas,Temporary visas - Total,Other Visas(g),Total(h)
2004-07-01,4850,1500,3270,3440,8210,3670,570,830,150,530,460,6210,1380,24870,630,760,33860,380,91350
2004-08-01,4520,1090,2640,3620,7340,770,150,130,140,250,90,1540,960,24850,520,930,28790,280,80640
2004-09-01,6220,1220,2780,3080,7080,310,180,40,220,90,130,980,1200,26360,1240,890,30660,510,84870
2004-10-01,5090,970,2860,3420,7250,700,390,290,140,130,250,1900,1240,33040,1520,870,38570,430,99520
2004-11-01,4450,1160,2850,3000,7010,180,70,40,190,80,70,630,1050,40730,1180,790,44380,520,92340
2004-12-01,6000,1050,2480,2440,5970,360,140,40,100,80,130,840,1030,51310,790,600,54570,480,99690
2005-01-01,6560,1740,5250,5130,12130,1830,650,1190,370,350,380,4760,2170,29480,1090,1010,38520,410,108940
2005-02-01,3930,1290,3390,3430,8120,6170,470,320,130,420,750,8270,920,37880,960,750,48780,380,90850
2005-03-01,5770,1120,2870,3160,7140,840,210,50,290,150,50,1590,1060,42670,970,670,46960,580,96550
2005-04-01,6450,1090,3300,3340,7730,430,270,490,190,60,200,1640,1390,27580,880,740,32220,370,83640
2005-05-01,4730,900,2480,3240,6610,250,90,20,110,60,30,570,1400,24600,690,700,27970,340,74140
2005-06-01,4260,1300,2800,2970,7070,570,220,130,120,70,90,1200,1240,25050,630,770,28890,360,80000
2005-07-01,5150,1270,4080,4230,9580,4120,590,750,160,180,490,6290,1660,24380,690,870,33880,260,103840
2005-08-01,5230,1230,3280,3450,7970,850,90,120,220,90,40,1400,1600,24830,820,870,29520,290,86530
2005-09-01,5530,1360,3100,4190,8650,370,250,50,330,70,60,1130,1550,29440,1160,820,34100,320,95850
2005-10-01,5630,1370,3550,4060,8980,760,220,300,180,80,50,1600,1590,35810,1190,1050,41240,480,107680
2005-11-01,4710,1090,3010,2970,7070,250,120,30,100,50,40,580,1500,38400,1220,750,42460,260,89000
2005-12-01,6290,1140,2950,2450,6540,450,110,40,110,60,50,820,1320,52500,660,780,56090,430,102330
2006-01-01,6890,1880,5790,4670,12340,1630,610,750,310,210,160,3670,2960,33130,1050,1010,41810,450,114820
2006-02-01,4320,1260,3230,3570,8060,6930,590,500,240,220,700,9180,1570,34020,1110,830,46710,310,90490
2006-03-01,5340,1100,2850,2870,6820,820,170,40,210,70,40,1360,1800,35320,1000,950,40430,360,85910
2006-04-01,6310,1110,3250,3690,8040,470,150,230,290,90,140,1370,1730,30180,830,860,34960,180,88300
2006-05-01,5280,1200,3280,2950,7430,300,80,270,80,90,40,860,1380,20000,730,910,23870,220,71800
2006-06-01,4770,890,3260,3330,7480,470,170,50,260,100,110,1170,1810,22090,840,530,26440,180,77180
2006-07-01,5300,1580,4160,4070,9810,4170,650,660,280,130,630,6520,2460,22970,680,910,33540,340,103590
2006-08-01,5400,1390,3350,3450,8190,750,170,90,230,100,100,1450,2320,23290,740,940,28740,370,88550
2006-09-01,6190,1260,3260,3940,8450,420,250,40,460,130,30,1330,1940,24840,1260,1020,30390,210,91260
2006-10-01,5550,1210,4190,4030,9440,800,230,250,250,80,90,1700,2270,36890,1780,1160,43810,250,114460
2006-11-01,4780,1210,3060,3050,7310,330,100,50,240,90,20,820,2030,40150,1220,680,44900,410,97160
2006-12-01,6860,1180,3040,3080,7300,410,190,50,210,50,50,960,1990,60630,940,1000,65520,400,119580
2007-01-01,7710,2370,6330,5050,13740,2210,860,920,360,190,210,4740,4210,30960,1310,1370,42570,550,125760
2007-02-01,4320,1240,3690,3550,8480,6720,580,280,230,150,530,8500,2020,39020,1010,1130,51680,410,100010
2007-03-01,6300,1530,3250,3180,7950,1120,250,90,330,110,50,1960,2290,40020,1380,1050,46690,510,100820
2007-04-01,6910,1320,3820,3480,8620,550,320,430,460,70,100,1930,2340,32580,1160,930,38940,470,101110
2007-05-01,5660,1040,3200,3240,7490,320,170,20,240,70,40,870,2250,24090,1230,660,29100,310,86090
2007-06-01,5760,1420,3420,3560,8400,620,300,100,240,80,70,1410,2450,23500,1140,800,29300,310,91720
2007-07-01,5680,1490,4680,4520,10690,4410,720,730,190,150,670,6870,3420,25730,1200,920,38150,360,122080
2007-08-01,6360,1710,4010,4330,10050,1160,240,130,380,140,80,2130,2870,27860,1190,950,35010,240,111800
2007-09-01,7080,1560,3550,3910,9010,490,280,50,430,110,90,1440,3010,30570,1780,920,37720,250,110920
2007-10-01,7460,1520,3880,4190,9600,710,470,300,190,100,130,1900,3270,35470,1950,1090,43680,450,129690
2007-11-01,6980,1620,3310,3410,8340,430,170,50,170,100,130,1050,2720,40030,1650,780,46240,620,110850
2007-12-01,8410,1450,3110,3030,7590,680,210,70,210,110,90,1370,2540,55840,1170,580,61510,630,123490
2008-01-01,9030,2300,6460,5320,14070,2590,1010,780,370,200,220,5170,5460,30320,1680,1150,43790,490,142580
2008-02-01,5810,1600,4560,4250,10410,7510,800,620,330,260,660,10180,3410,38270,1680,1080,54620,320,115910
2008-03-01,7340,1670,3700,3730,9110,1460,310,70,320,120,30,2310,2960,43050,1580,1040,50940,570,115460
2008-04-01,7570,1320,4150,3810,9290,790,360,320,340,90,90,2000,3290,30530,1600,1310,38730,390,106620
2008-05-01,6800,1410,3490,3620,8510,550,260,30,140,90,30,1110,3260,23510,1450,920,30250,370,95370
2008-06-01,7010,1330,3730,3730,8790,770,430,50,350,110,150,1870,3580,24580,1690,850,32570,290,102840
2008-07-01,7530,1580,4420,4420,10420,5380,1140,610,230,190,600,8150,4420,25080,1220,1210,40090,410,133210
2008-08-01,6940,1790,3900,3990,9680,1490,340,100,350,140,120,2530,4460,24070,1720,810,33600,370,110050
2008-09-01,7520,1520,4090,4290,9900,570,380,40,390,90,60,1520,3800,27070,2790,990,36160,270,115780
2008-10-01,7980,1980,4460,4490,10940,1350,650,360,230,180,40,2810,4100,32440,2780,1120,43250,270,136930
2008-11-01,6950,1630,3940,3690,9260,600,320,70,230,120,80,1420,3670,38030,2320,860,46300,360,112250
2008-12-01,7580,1570,3480,3140,8190,710,390,20,220,90,50,1480,3210,53710,1760,700,60870,550,123620
2009-01-01,11200,2310,7740,5590,15650,3210,1570,740,330,330,260,6450,7730,31500,2800,1310,49790,510,158780
2009-02-01,6840,2150,4910,4140,11190,8690,1180,630,300,240,580,11610,3690,34260,2940,1320,53820,520,116940
2009-03-01,7970,1610,4200,3390,9190,1010,470,40,390,190,70,2160,3300,39340,2570,1110,48480,620,113160
2009-04-01,8250,1910,4540,4700,11150,1040,830,330,290,140,160,2790,3920,32810,2200,1000,42720,470,117700
2009-05-01,7540,1630,3530,3940,9090,480,580,80,160,140,60,1510,3150,26900,1650,950,34160,670,102090
2009-06-01,6850,1980,3750,4050,9790,1040,880,40,210,180,120,2460,3210,26670,1960,990,35290,400,110210
2009-07-01,7420,2190,5250,4910,12350,6360,1750,590,340,220,550,9820,4130,24340,1670,1050,41020,950,143390
2009-08-01,7500,2100,5440,4730,12280,1290,610,100,270,170,110,2550,3610,25000,2000,1000,34160,540,124240
2009-09-01,7220,1960,4200,4560,10730,740,540,40,370,200,90,1970,3290,34870,2750,1090,43970,560,130580
2009-10-01,8400,2540,5620,4640,12790,1380,690,250,270,260,90,2940,3280,33560,2890,1130,43800,580,152700
2009-11-01,8030,2210,3900,3800,9910,610,320,30,130,120,50,1250,3030,42860,2430,1030,50590,690,133190
2009-12-01,7730,1690,4250,3600,9540,900,300,80,210,200,40,1750,2460,55140,1660,1080,62080,830,139450
2010-01-01,10550,3310,9420,6640,19370,3620,1290,920,400,290,330,6850,6840,29260,2530,1570,47040,570,177790
2010-02-01,6480,1810,5280,4730,11820,8530,1160,460,190,280,470,11080,3080,38350,2230,1500,56250,520,131380
2010-03-01,8250,2060,4490,4160,10710,1580,520,60,240,240,30,2670,2920,43440,2300,1480,52820,460,136340
2010-04-01,8960,1960,5130,4440,11530,910,600,300,190,160,180,2350,3850,31170,1800,1010,40180,530,134480
2010-05-01,7900,2050,3850,4370,10270,420,340,40,230,170,70,1270,3160,25550,1990,1020,33000,240,116300
2010-06-01,7750,2020,3900,4420,10340,850,480,60,250,130,200,1960,3320,28160,2060,830,36330,360,124830
2010-07-01,6880,2510,6060,5490,14070,6180,1020,800,180,270,770,9220,4700,25860,1510,1250,42540,670,166300
2010-08-01,8040,2520,4380,4560,11460,2010,370,110,250,200,70,3010,3820,26410,2050,1010,36290,520,136780
2010-09-01,10010,2130,4400,5160,11690,730,310,60,410,240,120,1870,3720,36690,3160,1100,46540,480,151380
2010-10-01,8800,2570,5300,6000,13870,1230,550,190,220,200,190,2580,3830,34760,3330,1180,45670,570,171110
2010-11-01,8360,2130,4050,4510,10690,670,270,40,190,190,70,1430,3390,42370,2950,1470,51610,520,140370
2010-12-01,9320,1880,3400,3980,9270,940,440,20,200,150,150,1900,3150,58340,1690,1470,66550,650,147880
2011-01-01,11700,3220,10050,6780,20060,2980,1340,700,300,350,340,6020,7900,30630,3150,2070,49770,550,196420
2011-02-01,7560,2410,5080,5150,12640,9540,1310,400,400,290,680,12620,3710,41310,2870,1680,62190,550,143810
2011-03-01,10300,2100,3510,4230,9840,1140,530,50,350,160,30,2250,3190,39710,3280,1530,49950,570,138790
2011-04-01,9640,2300,4910,4980,12190,630,500,90,130,130,100,1580,4080,36230,2840,1360,46090,450,139190
2011-05-01,9310,2270,5300,5940,13510,720,690,240,190,170,70,2080,4360,26420,2660,1190,36710,490,143090
2011-06-01,7600,2090,4390,4870,11350,950,300,90,160,210,220,1920,3820,27100,2820,1120,36780,350,133150
2011-07-01,10030,2880,5980,5920,14770,5320,830,570,200,270,510,7700,5250,26070,2070,1250,42350,520,176800
2011-08-01,9370,2730,5880,5440,14060,1670,300,110,220,220,100,2620,4560,31890,3190,1480,43740,390,155010
2011-09-01,10960,2610,5720,5520,13850,770,350,40,210,220,150,1730,4780,32640,4700,1470,45310,550,158470
2011-10-01,11210,2490,5830,6410,14730,1080,440,220,270,190,90,2280,5040,35260,4280,1700,48560,370,181910
2011-11-01,10500,2440,5150,4890,12470,560,470,50,240,180,70,1580,4480,45180,3790,1200,56220,570,153030
2011-12-01,11500,2110,4790,4210,11100,1170,370,20,170,170,100,2010,3530,53960,2580,1110,63200,570,152200
2012-01-01,15420,3900,12420,7740,24060,2550,1030,620,320,340,390,5260,10510,33880,4310,2430,56400,430,210420
2012-02-01,11220,2720,7340,5390,15460,8960,1130,430,310,430,580,11830,4700,40730,4210,2360,63830,460,161820
2012-03-01,11790,2440,5730,4430,12610,1000,590,20,240,210,70,2140,4950,43670,4300,1630,56690,460,155160
2012-04-01,12780,2630,7180,5170,14980,750,550,330,260,230,360,2480,6490,34610,3330,1710,48630,620,164280
2012-05-01,11340,2410,5590,4790,12780,460,400,10,100,220,80,1270,5030,27050,3830,1260,38430,430,137010
2012-06-01,10650,2290,6050,5170,13510,1070,420,30,200,170,170,2070,5890,28060,3850,1560,41430,560,148080
2012-07-01,12490,2620,7340,6200,16170,5450,770,580,310,310,480,7890,7290,26050,2930,1610,45770,410,187440
2012-08-01,11860,2490,6350,5940,14770,1370,400,50,180,300,60,2370,6750,32410,4640,1300,47480,380,159150
2012-09-01,12990,2610,6340,5680,14640,990,300,20,300,270,240,2120,6210,33840,6090,1550,49810,370,166940
2012-10-01,12870,2870,6470,7040,16380,1000,430,270,250,170,90,2210,6760,36610,5130,1670,52380,390,198610
2012-11-01,11740,2430,5450,5330,13210,810,400,60,210,150,90,1720,5810,45880,4740,1820,59970,550,165010
2012-12-01,13430,2130,5450,4590,12170,1020,410,50,190,200,80,1950,4390,58900,2910,1470,69620,300,164530
2013-01-01,18690,3830,12980,8510,25320,2770,1120,450,340,460,440,5570,13610,30420,6450,3170,59220,340,225790
2013-02-01,12040,2910,7500,6160,16570,7440,840,480,240,390,700,10090,5260,42380,4180,2710,64620,190,162570
2013-03-01,13250,2870,5780,5320,13970,1840,370,40,280,190,130,2850,5720,45110,4810,2310,60800,280,166750
2013-04-01,14010,2650,6370,5640,14670,1170,510,60,240,180,280,2440,6930,30680,4720,1960,46740,440,157300
2013-05-01,12810,3280,7090,5720,16090,610,560,130,260,230,180,1970,6160,27630,3870,1730,41360,120,163350
2013-06-01,10960,2860,6250,5370,14470,910,420,20,230,220,120,1920,6740,29030,3880,1810,43390,100,154470
2013-07-01,13350,3190,7650,6670,17520,4930,930,330,200,300,800,7500,7810,25510,3620,1830,46270,150,194340
2013-08-01,11720,2880,6420,5790,15090,2080,320,80,280,250,250,3260,6540,36100,4280,1780,51970,240,176200
2013-09-01,13080,2830,6730,6460,16020,1030,420,40,340,220,120,2170,6210,34860,6030,1970,51250,190,179410
2013-10-01,14120,3320,7340,7220,17880,1120,510,130,260,300,180,2500,6440,37280,5040,2470,53730,420,206310
2013-11-01,11070,2660,5990,5730,14380,630,370,10,230,170,150,1560,5250,46620,3790,2070,59290,230,168200
2013-12-01,14030,2430,6120,5020,13570,910,450,20,140,200,120,1830,4490,67230,2650,1550,77750,220,185450
2014-01-01,19030,4590,13920,9810,28320,2380,1190,320,350,500,460,5210,13130,35420,5620,3310,62680,220,256440
2014-02-01,12560,3360,8830,7100,19290,8240,910,440,270,460,790,11110,5350,45340,3860,2920,68580,160,179070
2014-03-01,13090,2940,5960,5480,14380,1870,580,30,200,210,110,2990,5030,46940,3610,2550,61120,260,172600
2014-04-01,13960,3060,7580,6230,16870,1210,660,240,280,170,360,2930,6520,38200,3160,1970,52780,360,184490
2014-05-01,11340,2830,6850,6410,16090,620,450,10,200,180,90,1560,5590,32190,3300,1910,44540,200,156370
2014-06-01,10850,2720,6130,6070,14920,1020,480,50,220,230,170,2160,5970,33050,2900,2110,46180,260,158630
2014-07-01,12540,2900,6970,7670,17540,4710,1000,340,220,200,850,7320,6980,35590,3000,2210,55100,220,208820
2014-08-01,12330,3130,7010,6610,16750,2600,390,80,380,360,260,4070,6200,32160,3780,2010,48210,160,179050
2014-09-01,14240,2730,6500,6660,15890,820,570,30,300,200,60,1980,5740,39770,5260,2290,55030,210,192420
2014-10-01,14230,3120,7180,7310,17610,1340,570,240,320,250,210,2940,6400,41610,5140,2290,58380,270,212570
2014-11-01,11810,2780,5640,5930,14340,660,430,10,240,160,240,1750,5060,48930,4080,2300,62110,230,172460
2014-12-01,13740,2580,5100,5160,12850,1150,590,40,270,150,290,2500,3870,65930,2830,1630,76760,120,184240
2015-01-01,18200,4410,14300,10270,28980,2560,1430,270,320,500,460,5540,11180,32280,4730,2970,56700,330,247480
2015-02-01,11000,2900,6640,6400,15930,7200,750,260,290,410,710,9620,4210,50590,3390,2130,69930,230,171380
2015-03-01,13000,2990,5860,6230,15080,2420,660,50,400,230,130,3890,4630,49860,3840,2630,64860,140,173790
2015-04-01,13390,3360,7110,7090,17560,1430,690,200,300,230,320,3170,5380,39520,3110,2350,53540,370,183000
2015-05-01,11300,2690,6030,5750,14470,730,400,10,320,200,120,1780,4490,32980,2900,2140,44300,300,152970
2015-06-01,10460,2480,5780,6240,14500,950,640,20,240,240,150,2240,4370,34730,2740,1930,46000,360,156500
2015-07-01,12800,2860,7760,7920,18540,5240,1380,470,310,320,950,8680,5670,36190,2850,2540,55930,340,206510
2015-08-01,12500,3260,7120,6730,17110,2060,460,60,350,250,240,3430,5180,35850,3210,2430,50100,220,179050
2015-09-01,13920,2810,6180,6600,15600,990,540,30,300,200,150,2210,4770,42180,4660,2590,56410,210,185070
2015-10-01,13470,2760,7000,7790,17540,1610,730,110,330,190,290,3250,4500,41280,4700,2530,56260,260,207250
2015-11-01,12360,2340,5690,5650,13680,920,390,10,360,210,170,2050,3420,56030,3290,2140,66920,310,170380
2015-12-01,12770,2890,4870,5410,13170,980,540,40,260,130,150,2100,3420,72560,2340,1870,82300,190,184470
2016-01-01,16650,4900,14380,10680,29960,2830,1760,440,320,520,400,6270,7580,34890,4170,3150,56060,210,250790
2016-02-01,11400,3680,7270,6530,17480,9290,1040,190,380,430,700,12040,3540,58880,3370,2960,80790,230,186630
2016-03-01,13180,3170,5540,6380,15090,1750,750,10,390,140,70,3110,3260,58730,2960,2340,70410,320,179460
2016-04-01,12540,3100,6980,6740,16830,1300,690,170,270,220,280,2930,3890,44560,2630,2420,56430,280,182030
2016-05-01,10290,2730,6070,6430,15240,730,580,10,280,230,100,1920,3310,41400,2360,2340,51340,260,160520
2016-06-01,10130,2980,5650,6170,14810,1050,740,50,300,200,250,2590,3460,41550,2460,2460,52510,210,162940
2016-07-01,11920,3320,7840,8850,20010,6050,1260,360,300,400,900,9260,4430,45850,2280,2270,64090,340,224010
2016-08-01,11280,2950,6810,6980,16750,2020,550,70,290,280,250,3470,3580,42700,2780,2190,54730,200,185040
2016-09-01,12260,2860,5940,7020,15810,1040,860,60,390,280,210,2830,3310,53060,3950,2500,65650,380,197330
2016-10-01,13100,2850,7260,8970,19080,1460,760,90,240,170,180,2900,3500,52550,3530,2860,65340,240,217050
2016-11-01,10640,2770,5310,6200,14280,880,670,10,320,160,150,2200,2730,62020,2980,2700,72630,180,180150
2016-12-01,12400,2420,4490,5640,12550,1130,720,60,200,130,230,2480,2590,82000,2310,2330,91700,270,199690
2017-01-01,16660,4300,12910,11420,28640,2320,1810,440,340,450,350,5710,5670,44140,3120,3270,61900,230,253030
2017-02-01,9780,3640,7380,8730,19750,9890,1030,280,280,440,780,12710,2580,53970,2880,3270,75410,250,186870
2017-03-01,11210,2540,4820,5790,13150,1540,690,30,280,220,60,2810,2290,60760,2580,2240,70690,300,171770
2017-04-01,13610,3100,6860,7890,17850,1380,730,210,240,280,270,3090,3090,52370,1980,2570,63090,240,196570
2017-05-01,9650,2610,5620,6780,15010,770,630,30,180,240,110,1960,2380,44870,2300,2690,54200,170,164070
2017-06-01,10540,2630,4550,6480,13650,980,860,70,330,230,250,2720,2350,46400,1810,2510,55790,80,165690
2017-07-01,11220,3210,6610,8530,18340,6450,1000,410,190,390,650,9090,3480,40100,1700,2280,56650,330,213540
2017-08-01,11260,2940,6070,7470,16470,1790,620,40,230,210,150,3040,2980,48640,2200,2190,59050,240,183800
2017-09-01,12230,2450,5620,7380,15450,920,770,10,270,250,210,2440,2860,47450,3220,2740,58710,170,189540
2017-10-01,13620,2800,5940,9400,18140,1520,600,150,200,280,40,2790,2680,54550,2990,2800,65810,290,222130
2017-11-01,10620,2390,4590,7090,14070,880,570,20,200,180,140,1970,2350,61900,2490,2690,71410,160,176170
2017-12-01,12510,2290,4460,6100,12850,1100,590,20,100,160,190,2160,1840,83360,1820,2200,91380,240,192880
2018-01-01,15420,4310,11250,12410,27970,2850,1560,470,340,530,260,6030,4600,40570,2580,3990,57770,300,249150
2018-02-01,10110,2930,5450,7870,16250,8680,900,100,180,450,800,11110,2580,61250,2150,3310,80400,140,183830
2018-03-01,11730,3190,4650,6850,14690,1880,660,20,240,280,50,3140,2260,65280,2410,2620,75700,310,185060
2018-04-01,12340,2810,5670,8030,16510,1590,770,170,200,190,130,3060,2900,42150,2170,2910,53190,220,180920
2018-05-01,10630,3000,5540,7490,16030,870,730,50,190,220,180,2240,2520,42360,2420,2860,52390,190,172200
2018-06-01,10260,2410,5250,7540,15210,1370,660,30,120,220,180,2570,2440,46420,2070,2860,56360,160,171200
2018-07-01,10660,2690,6440,8850,17980,6770,950,410,130,390,680,9310,2920,39610,1630,2860,56330,300,214680
2018-08-01,10590,3120,4740,7410,15270,1850,480,70,270,340,120,3140,2760,50170,2040,2510,60620,150,185330
2018-09-01,11440,2970,5020,8240,16230,970,770,40,400,240,100,2520,2620,48070,3100,3020,59340,170,190450
2018-10-01,12700,2810,5100,9190,17110,1360,610,160,200,280,100,2710,2640,52010,3130,3180,63670,240,210470
2018-11-01,10380,2440,3590,7290,13330,780,420,50,210,180,50,1680,2010,63770,2590,2880,72920,180,179230
2018-12-01,12880,2310,3730,6380,12420,1360,590,30,180,250,120,2540,1920,83250,1510,2250,91470,240,200780
2019-01-01,14410,4240,8580,12640,25460,2870,1220,290,240,550,220,5400,4170,40460,2770,3850,56640,260,242850
2019-02-01,10340,3190,5220,9020,17440,9440,890,220,190,500,630,11870,2520,61790,2540,3320,82040,230,187920
2019-03-01,11110,2450,4010,6710,13170,1770,620,20,300,160,70,2930,2020,59380,2510,2640,69470,180,173670
2019-04-01,10960,2940,4830,7990,15770,1080,650,200,370,220,140,2650,2280,47830,2210,2430,57410,140,179650
2019-05-01,10790,2800,4680,7730,15210,700,490,50,200,210,60,1710,2310,46330,2210,2870,55430,220,170090
2019-06-01,10210,2710,3890,7900,14500,1460,580,40,190,280,200,2750,2080,48240,1870,2670,57610,150,169790
2019-07-01,10830,2400,5500,9560,17460,7020,890,470,150,440,760,9720,2580,44720,1740,2940,61700,260,216650
2019-08-01,13560,2740,4570,8220,15540,1750,460,20,310,280,250,3080,2360,54590,2360,2800,65190,180,197540
2019-09-01,10660,2780,4310,7890,14970,900,550,30,500,200,100,2280,2170,52930,3110,2870,63350,320,194340
2019-10-01,12470,3030,4410,10530,17970,1510,650,170,180,240,130,2880,2570,59190,3260,2780,70680,210,222580
2019-11-01,10880,2670,3790,7620,14080,1020,410,50,300,210,80,2050,1920,68760,2740,2840,78320,320,195840
2019-12-01,11970,2360,3710,6730,12810,1340,540,40,130,220,40,2320,1880,90610,1900,2600,99300,230,211420
2020-01-01,14320,3680,7730,13160,24570,3040,1140,340,300,550,270,5640,3660,54850,3250,4150,71550,330,260650
2020-02-01,9710,3080,4430,9940,17460,7210,740,230,360,390,980,9900,1880,54550,3090,4000,73420,140,189340
2020-03-01,8210,1520,1970,4040,7530,2060,310,30,140,140,30,2710,1210,24770,1650,2330,32670,160,104850
2020-04-01,120,100,150,240,490,0,0,0,0,0,0,0,40,70,10,30,150,10,2430
2020-05-01,170,80,90,130,300,0,0,0,0,0,0,0,40,140,0,60,250,0,1850
2020-06-01,190,130,150,190,470,0,0,0,0,0,0,0,20,180,0,130,340,20,2350
2020-07-01,160,100,120,230,460,0,0,0,0,0,0,0,70,110,0,160,340,0,2400
2020-08-01,120,60,80,90,220,0,0,0,0,0,0,10,100,160,0,160,430,0,1630
2020-09-01,100,90,60,90,250,0,0,0,0,0,0,0,90,110,10,70,280,10,1420
2020-10-01,150,80,120,160,360,10,0,0,0,0,0,10,160,250,10,160,600,10,2190
2020-11-01,270,110,100,130,350,0,0,0,0,0,0,10,140,250,10,110,510,10,2450
2020-12-01,270,160,120,170,450,10,0,0,0,0,0,10,120,200,10,200,540,10,2570
2021-01-01,210,120,150,170,450,10,0,0,0,0,0,20,200,160,10,250,630,10,2610
2021-02-01,200,140,120,140,390,10,0,0,0,10,0,10,170,250,0,190,630,10,2240
2021-03-01,290,220,160,190,570,0,0,0,0,10,0,10,150,300,10,220,690,10,2930
2021-04-01,770,180,130,150,460,0,0,0,0,10,0,10,170,260,10,390,830,10,3360
2021-05-01,2830,210,240,200,650,10,0,0,0,0,0,10,160,250,10,320,760,10,6440
2021-06-01,2860,200,190,210,600,10,0,0,0,0,0,20,120,260,20,310,730,10,6480
2021-07-01,2540,170,160,190,520,10,10,0,0,0,0,20,120,200,10,270,620,10,6220
2021-08-01,1120,140,170,170,470,0,0,0,0,10,0,20,170,180,20,250,640,10,3940
2021-09-01,100,180,130,130,440,0,0,0,0,0,0,0,180,160,10,340,700,40,2440
2021-10-01,130,150,130,120,400,0,0,0,0,0,0,10,190,230,10,380,820,30,2580
2021-11-01,140,320,260,250,830,10,0,0,0,20,0,30,270,490,10,420,1220,10,4200
2021-12-01,420,260,220,230,720,120,30,0,20,30,0,200,220,930,20,300,1660,10,4840
2022-01-01,170,120,110,130,360,110,40,10,30,20,0,210,170,530,30,360,1300,0,2970
2022-02-01,680,600,610,630,1840,1180,70,10,20,150,40,1470,530,1570,70,420,4060,20,11090
2022-03-01,1930,940,1010,1350,3300,1690,250,30,100,190,30,2300,790,11910,500,1170,16680,80,31560
2022-04-01,5270,1320,1680,2560,5560,690,330,40,130,160,20,1380,1050,18950,760,1670,23820,110,56300
2022-05-01,5520,1580,1940,2980,6500,820,270,10,110,140,10,1360,1210,17940,730,2100,23320,170,62730
2022-06-01,5830,1540,1840,3410,6790,1210,450,30,160,160,50,2060,1210,20680,890,2670,27510,150,74960
2022-07-01,8320,2220,3140,5240,10600,4200,560,100,140,180,430,5610,1730,19340,1050,3200,30940,200,115500
2022-08-01,8100,2520,2490,4950,9950,2420,480,20,350,140,280,3700,1710,23130,1940,3430,33920,190,114680
2022-09-01,8440,2170,2320,4890,9380,1160,560,30,430,160,90,2430,1660,28480,2820,3920,39310,120,119410
2022-10-01,9350,1880,2710,5420,10020,1160,530,60,270,120,50,2190,1600,31640,2720,3650,41800,130,135880
2022-11-01,8360,1990,2580,5160,9730,1750,480,20,360,130,80,2830,1560,43920,3090,4150,55540,170,138750
2022-12-01,9280,1730,2350,4410,8480,2320,640,30,250,100,20,3360,1490,52750,2260,3530,63380,180,139460
2023-01-01,12570,3080,5300,9700,18080,3730,1090,170,360,340,180,5870,2930,25150,3320,5590,42860,210,189380
2023-02-01,8920,2400,3730,6640,12780,9430,850,110,420,250,790,11850,1700,37430,3760,5740,60480,190,156350
2023-03-01,10120,2130,3610,6140,11880,2270,800,20,450,180,40,3760,2010,46650,3960,5580,61950,200,160360
2023-04-01,11590,2510,3740,7340,13590,1600,870,90,390,200,110,3260,1950,37200,2820,4660,49890,130,162750
2023-05-01,9340,2410,3490,6770,12670,2400,780,20,340,240,70,3860,2020,31410,3620,4840,45750,250,147530
2023-06-01,9680,2260,3180,6530,11970,3090,900,50,400,200,70,4720,2170,31970,3580,4440,46880,90,152460
2023-07-01,9250,2160,3830,8250,14250,8410,1060,190,220,250,480,10610,2470,26110,2560,4800,46550,260,187330
2023-08-01,10220,2810,3770,7240,13820,2560,680,30,440,200,170,4070,2430,36120,4280,5760,52660,290,175350
