Month,NSW,Vic,Qld,SA,WA,Tas,NT,ACT,Other Territories,Total (State of residence/stay)
1991-02-01,78340,33830,42340,5780,17410,1800,1460,3740,0,190570
1991-03-01,80520,32020,45860,6240,15450,1350,710,2270,0,189180
1991-04-01,68330,25810,42900,4950,17160,710,1860,1800,0,168000
1991-05-01,65380,24750,43100,3610,15280,890,2360,1230,0,161400
1991-06-01,64100,22550,58800,2900,12930,980,2060,1360,0,172230
1991-07-01,86770,30170,61970,3920,12380,890,2630,1960,0,208310
1991-08-01,87560,28220,55210,3240,13260,890,2630,1560,0,199310
1991-09-01,86500,27990,50130,3830,16010,780,1760,2330,0,197360
1991-10-01,90610,32860,56010,6420,15900,920,1700,2310,0,215970
1991-11-01,93940,36350,54920,5680,18140,950,1690,2390,0,223860
1991-12-01,110600,43180,62200,7560,25600,1930,2040,2970,0,266750
1992-01-01,86250,28990,50890,4180,14570,2040,700,1610,0,196090
1992-02-01,105340,40880,54510,5710,19340,1860,1430,1720,0,238250
1992-03-01,101310,31960,49420,5290,16820,1470,1310,1660,0,217800
1992-04-01,93600,28990,49590,4670,16830,1180,1460,1530,0,203830
1992-05-01,74960,23590,53270,2720,11180,950,2070,1340,0,175220
1992-06-01,71860,21900,57170,3310,14370,700,1660,1260,0,176940
1992-07-01,90140,26950,68680,4700,15710,800,2330,1950,0,219260
1992-08-01,88000,22670,58830,3110,14680,710,2580,1240,0,199080
1992-09-01,81490,22850,53420,3900,16890,510,2000,1930,0,190020
1992-10-01,95300,32340,63410,4950,18780,920,2420,1590,0,229320
1992-11-01,113730,37890,66630,6020,21790,1390,1250,1980,0,255040
1992-12-01,130290,42850,78940,8290,31030,3000,1830,2340,0,302400
1993-01-01,107530,32820,67410,4990,19130,1810,1320,1620,0,242760
1993-02-01,111900,38710,57540,5810,20000,2340,1340,2190,0,245460
1993-03-01,115310,37210,66710,7220,20380,2710,960,2080,0,257950
1993-04-01,100640,29330,64560,5050,19550,1040,1870,1490,0,226320
1993-05-01,89410,32820,66460,3390,16710,900,2150,1100,0,213410
1993-06-01,85650,22460,69530,3170,19370,610,1730,1170,0,204580
1993-07-01,112540,29150,71200,5070,18680,910,3670,2590,0,244620
1993-08-01,103620,25440,79080,3920,19780,790,3840,1280,0,239930
1993-09-01,99600,24720,65700,5940,20390,850,2950,2600,0,224030
1993-10-01,125690,31310,73480,5550,21290,1420,3200,2180,0,267220
1993-11-01,116820,42390,82340,7770,29800,1950,2660,2190,0,285910
1993-12-01,142900,51670,93050,9190,38530,3600,1940,3160,0,344040
1994-01-01,114520,38270,65050,5770,21620,2190,1640,1460,0,250530
1994-02-01,134630,43170,82990,7360,29210,2340,2270,2320,0,304280
1994-03-01,138580,45380,78410,6840,32650,1250,2510,1780,0,307400
1994-04-01,118480,32280,68170,5870,23950,1150,2740,2490,0,255130
1994-05-01,91620,25320,69520,3460,20030,1090,2470,1440,0,214940
1994-06-01,97760,26390,75650,3400,21800,740,3490,1700,0,230940
1994-07-01,126810,34140,80290,5970,25690,870,6160,2580,0,282510
1994-08-01,119140,27640,83670,3760,24060,670,4630,1870,0,265430
1994-09-01,109200,27800,81480,4730,23950,760,3950,2090,0,253970
1994-10-01,127760,40960,88050,6480,29520,1160,5510,2150,0,301590
1994-11-01,131050,41440,89540,8430,32880,1970,3570,2110,0,311000
1994-12-01,158500,55940,107820,7840,43800,3800,3310,3020,0,384010
1995-01-01,133300,41240,87520,6750,27210,2620,2330,2800,0,303760
1995-02-01,142740,52460,80650,6550,28120,2260,2360,3380,530,319050
1995-03-01,137900,43940,86180,7640,30270,1860,2720,2160,880,313540
1995-04-01,125210,41690,84590,6610,27780,1880,3280,2440,680,294160
1995-05-01,102460,27730,82140,3260,21640,1010,4240,1530,800,244810
1995-06-01,108050,27780,89720,4010,24790,880,3700,1720,800,261440
1995-07-01,149380,38500,102340,5410,24480,1080,5180,2560,800,329740
1995-08-01,128760,30790,106800,5000,24840,890,5090,1990,720,304900
1995-09-01,118590,31010,81090,5090,24630,1150,4050,2140,830,268570
1995-10-01,143850,38990,91430,6640,30330,1440,5440,2090,460,320660
1995-11-01,145610,47360,97970,8750,33660,2220,3920,2610,820,342930
1995-12-01,176570,58720,120020,8570,46800,4590,2860,3030,1100,422260
1996-01-01,141870,45160,92130,6440,24250,1830,2850,2200,490,317210
1996-02-01,171700,55570,108830,7980,39640,2690,2470,3210,600,392690
1996-03-01,161280,51670,105400,7970,31010,2120,2660,2910,520,365550
1996-04-01,149170,42580,95560,6630,32270,1420,2440,2660,470,333200
1996-05-01,108580,33260,84920,5500,22550,880,3530,1730,570,261510
1996-06-01,124570,37570,106150,4520,26720,860,4540,1910,90,306930
1996-07-01,145140,44630,123080,6540,28780,890,6090,2980,110,358230
1996-08-01,138650,34250,114960,5240,28950,890,4140,1820,330,329240
1996-09-01,126370,36340,105140,5480,27540,910,4360,2810,200,309160
1996-10-01,150010,45360,101760,8750,34460,1390,5590,2760,290,350360
1996-11-01,162720,52770,105530,7950,37270,2100,4430,2360,420,375570
1996-12-01,195580,63930,136260,10410,49430,2520,3480,2780,790,465180
1997-01-01,149990,50180,97650,7880,29630,2820,2460,2220,60,342890
1997-02-01,165760,66070,114790,8750,39350,3770,5050,3620,800,407960
1997-03-01,166680,55990,113940,8730,35670,2280,3920,2990,700,390900
1997-04-01,133760,45230,100650,6170,33000,1600,2830,2420,240,325900
1997-05-01,123190,34860,94510,4590,25000,770,4390,1680,110,289100
1997-06-01,125130,38440,104980,4270,28530,870,3980,1620,340,308180
1997-07-01,153290,64890,130500,7000,30820,1740,5590,3020,520,397360
1997-08-01,130430,38770,117370,7470,26780,1230,5030,2830,540,330430
1997-09-01,134300,41430,109140,6060,31640,870,5250,2150,90,330940
1997-10-01,149050,49080,112060,8630,37810,1700,5290,2730,120,366480
1997-11-01,156030,53540,112660,9140,37840,2090,5140,2530,500,379460
1997-12-01,182330,68380,123150,12970,49370,4440,3750,3490,410,448280
1998-01-01,144010,51310,99540,7580,34480,3070,3200,2810,220,346230
1998-02-01,152600,59930,87660,9560,32550,4790,3240,3150,130,353610
1998-03-01,142460,55750,90620,8060,33270,2430,2590,3080,290,338560
1998-04-01,145130,48300,100920,7680,32150,1080,2620,2810,380,341080
1998-05-01,114700,38420,90830,4930,28270,960,3520,1590,170,283400
1998-06-01,117010,40240,108740,3650,27400,1000,3630,2020,50,304190
